player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
David Raya,ESP,GK,28,38.0,1413,1172,238,91,0,3,0,0,0,0,0,0,1040,3,0
William Saliba,FRA,DF,23,33.8,2559,2508,46,36,1,10,3,4,0,0,0,0,2413,5,4
Declan Rice,ENG,MF,25,31.4,1650,1436,208,71,5,17,164,4,108,94,3,0,1376,6,15
Thomas Partey,GHA,"MF,DF",31,31.1,1920,1819,95,27,6,4,12,62,0,0,0,0,1678,6,13
Leandro Trossard,BEL,FW,29,28.3,954,917,29,5,7,5,86,7,10,9,0,0,711,8,41
Gabriel Magalhães,BRA,DF,26,26.3,1641,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8
Jurriën Timber,NED,DF,23,26.9,1395,1188,204,22,2,1,28,182,0,0,0,0,1194,3,25
Martin Ødegaard,NOR,MF,25,25.8,1499,1373,114,35,25,3,86,12,37,31,0,0,1237,12,27
Gabriel Martinelli,BRA,"FW,MF",23,25.4,699,679,15,0,5,2,92,12,3,3,0,0,499,5,37
Kai Havertz,GER,"FW,MF",25,20.8,519,511,6,1,1,0,11,5,0,0,0,0,407,2,11
Bukayo Saka,ENG,"FW,MF",22,19.2,731,644,83,7,4,2,117,12,64,56,0,2,552,4,21
Mikel Merino,ESP,"MF,FW",28,17.6,577,567,5,4,5,1,13,1,0,0,0,0,451,5,12
Myles Lewis-Skelly,ENG,DF,17,15.2,776,660,111,17,3,2,10,94,0,0,0,0,708,5,2
Ben White,ENG,DF,26,13.3,692,583,107,20,1,7,17,83,0,0,0,0,580,2,7
Riccardo Calafiori,ITA,DF,22,10.9,549,483,65,7,0,2,11,58,0,0,0,0,470,1,11
Ethan Nwaneri,ENG,"FW,MF",17,9.9,425,386,36,3,3,1,54,4,27,18,0,0,342,3,14
Jakub Kiwior,POL,DF,24,12.5,736,704,31,10,3,1,2,4,0,0,0,0,673,1,1
Jorginho,ITA,MF,32,7.8,474,466,8,7,4,1,1,0,0,0,0,0,411,0,5
Raheem Sterling,ENG,"FW,MF",29,5.5,201,197,2,0,0,1,16,1,1,0,0,0,158,2,7
Gabriel Jesus,BRA,FW,27,6.8,203,197,3,0,1,0,7,3,0,0,0,0,156,3,12
Oleksandr Zinchenko,UKR,"DF,MF",27,5.9,451,399,49,14,2,3,13,33,1,0,0,0,382,3,3
Kieran Tierney,SCO,"DF,FW",27,2.9,173,155,18,4,1,0,14,14,0,0,0,0,145,0,2
Nathan Butler-Oyedeji,ENG,FW,21,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,JPN,DF,25,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Reiss Nelson,ENG,FW,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,25,38.0,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278
Opponent Total,,,26,38.0,15255,13697,1520,461,47,74,534,526,118,70,25,2,12192,38,251
