player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Bruno Fernandes,POR,MF,29,33.5,2242,1988,237,98,31,22,186,19,91,44,22,5,1707,17,55
André Onana,CMR,GK,28,34.0,1306,1066,235,86,1,2,0,0,0,0,0,0,948,5,0
Noussair Mazraoui,MAR,DF,26,31.5,1781,1578,202,24,7,6,23,168,0,0,0,0,1526,1,35
Diogo Dalot,POR,DF,25,31.3,1673,1426,242,13,4,8,66,229,0,0,0,0,1347,5,36
Matthijs de Ligt,NED,DF,24,23.6,1380,1350,27,19,0,9,6,1,0,0,0,0,1241,3,11
Alejandro Garnacho,ARG,"MF,FW",20,24.4,823,798,24,3,2,9,56,16,2,1,0,0,649,1,54
Rasmus Højlund,DEN,FW,21,22.3,336,310,23,0,2,0,8,0,0,0,0,0,251,3,6
Manuel Ugarte Ribeiro,URU,MF,23,19.8,910,883,23,7,2,5,7,2,0,0,0,0,800,4,12
Amad Diallo,CIV,"MF,FW",22,21.1,949,859,86,5,3,1,42,49,32,23,1,1,795,4,20
Lisandro Martínez,ARG,DF,26,19.5,1342,1285,54,15,5,3,9,16,0,0,0,0,1200,3,7
Harry Maguire,ENG,DF,31,19.5,1128,1083,41,26,0,9,4,1,0,0,0,0,965,4,5
Kobbie Mainoo,ENG,MF,19,18.3,836,808,23,13,2,4,7,6,0,0,0,0,723,5,17
Casemiro,BRA,MF,32,16.6,990,963,19,17,9,9,20,2,0,0,0,0,780,8,22
Joshua Zirkzee,NED,"FW,MF",23,15.6,410,400,9,1,6,2,4,0,0,0,0,0,292,1,15
Leny Yoro,FRA,DF,18,12.9,766,745,20,9,2,1,1,7,0,0,0,0,708,1,5
Marcus Rashford,ENG,"FW,MF",26,10.9,343,334,9,1,6,5,27,4,1,1,0,0,253,0,10
Christian Eriksen,DEN,MF,32,11.8,749,645,102,31,8,8,85,5,62,24,20,5,590,2,6
Patrick Dorgu,DEN,DF,19,9.4,494,419,74,8,0,1,39,65,1,0,0,0,400,1,8
Mason Mount,ENG,MF,25,6.9,253,238,15,8,2,2,13,3,4,3,1,0,207,0,8
Victor Lindelöf,SWE,DF,30,7.8,386,376,10,4,1,0,1,5,0,0,0,0,362,0,1
Altay Bayındır,TUR,GK,26,4.0,152,121,31,7,0,0,0,0,0,0,0,0,92,0,2
Luke Shaw,ENG,DF,29,3.9,290,276,14,5,1,1,11,2,4,0,1,0,249,0,6
Harry Amass,ENG,DF,17,3.8,181,150,31,2,0,0,9,29,0,0,0,0,149,0,3
Jonny Evans,NIR,DF,36,3.5,217,197,20,5,0,0,0,3,0,0,0,0,192,0,1
Ayden Heaven,ENG,DF,17,1.9,106,104,1,1,0,0,0,0,0,0,0,0,90,1,3
Tyler Fredricson,ENG,DF,19,1.8,122,119,3,3,0,0,0,0,0,0,0,0,110,0,2
Tyrell Malacia,NED,DF,24,1.1,55,49,6,0,0,0,1,6,0,0,0,0,49,0,2
Chidozie Obi-Martin,DEN,FW,16,1.8,24,22,2,0,0,0,0,0,0,0,0,0,20,0,0
Toby Collyer,ENG,MF,20,2.0,92,88,4,1,0,0,0,2,0,0,0,0,76,0,2
Antony,BRA,"DF,MF",24,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1
Scott McTominay,SCO,MF,27,0.2,10,8,2,0,0,0,0,1,0,0,0,0,10,0,0
Squad Total,,,25,38.0,20415,18750,1596,414,94,107,630,646,197,96,45,11,16837,69,355
Opponent Total,,,26,38.0,17770,16138,1575,451,61,73,598,605,180,114,29,4,14277,57,323
