player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Matz Sels,BEL,GK,32,38.0,998,610,375,105,0,0,0,0,0,0,0,0,519,13,0
Nikola Milenković,SRB,DF,26,37.0,1033,994,32,32,0,3,0,0,0,0,0,0,850,7,3
Murillo,BRA,DF,22,35.4,1450,1271,166,113,8,22,14,3,0,0,0,0,1138,13,6
Ola Aina,NGA,DF,27,33.3,1352,1071,279,15,0,4,59,264,0,0,0,0,994,2,46
Chris Wood,NZL,FW,32,32.9,490,485,0,0,2,1,1,0,0,0,0,0,315,5,7
Morgan Gibbs-White,ENG,MF,24,31.1,1269,1241,18,7,19,12,45,1,1,0,0,0,993,10,27
Elliot Anderson,ENG,MF,21,30.3,1386,1292,85,26,7,4,86,2,48,17,28,0,1085,9,35
Anthony Elanga,SWE,"FW,MF",22,27.8,827,697,126,31,3,0,185,6,86,43,39,0,540,4,24
Neco Williams,WAL,DF,23,28.8,1116,888,224,19,1,4,59,203,2,0,2,0,843,4,31
Callum Hudson-Odoi,ENG,"FW,MF",23,24.4,843,817,23,3,5,6,79,6,5,4,1,0,691,3,16
Nicolás Domínguez,ARG,"MF,FW",26,21.8,947,890,50,22,7,0,7,6,0,0,0,0,821,7,11
Ryan Yates,ENG,MF,26,21.3,758,699,56,23,0,0,8,0,2,0,0,0,618,3,19
Álex Moreno,ESP,"DF,MF",31,10.6,428,338,86,1,3,1,19,85,0,0,0,0,308,4,10
Ibrahim Sangaré,CIV,MF,26,6.6,323,312,11,10,1,2,2,1,0,0,0,0,276,0,9
Morato,BRA,DF,23,10.1,309,290,17,11,1,0,0,3,0,0,0,0,238,2,11
Jota Silva,POR,"FW,MF",24,9.5,196,191,3,0,1,1,21,2,1,0,0,0,118,2,12
James Ward-Prowse,ENG,MF,29,4.4,182,157,24,15,0,1,19,0,8,3,5,0,145,1,1
Danilo,BRA,"MF,FW",23,3.1,121,119,1,0,0,0,3,0,1,1,0,0,94,1,5
Taiwo Awoniyi,NGA,FW,26,4.6,96,96,0,0,1,0,2,0,0,0,0,0,61,0,4
Ramón Sosa,PAR,"FW,MF",24,3.3,97,86,10,2,0,1,8,4,4,2,1,0,66,1,2
Willy Boly,CIV,DF,33,1.7,70,69,1,1,0,0,0,0,0,0,0,0,55,0,0
Harry Toffolo,ENG,DF,28,1.5,67,39,28,0,0,0,4,27,1,1,0,0,47,0,3
Eric da Silva Moreira,GER,"MF,DF",18,0.3,8,6,2,0,0,0,0,2,0,0,0,0,7,0,0
Squad Total,,,26,38.0,14366,12658,1617,436,59,62,621,615,159,71,76,0,10822,91,282
Opponent Total,,,26,38.0,20628,18868,1724,473,45,87,886,653,241,156,48,1,16966,36,328
