player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Bart Verbruggen,NED,GK,21,36.0,1315,1164,145,62,0,0,0,0,0,0,0,0,1011,6,2
Jan Paul van Hecke,NED,DF,24,32.9,2286,2146,138,104,4,19,11,8,0,0,0,0,2016,2,7
Carlos Baleba,CMR,MF,20,29.6,1314,1289,23,10,7,3,9,3,0,0,0,0,1149,2,14
Kaoru Mitoma,JPN,"FW,MF",27,28.9,988,965,19,0,9,1,75,19,0,0,0,0,749,4,39
Pervis Estupiñán,ECU,DF,26,26.7,1610,1370,237,20,0,5,119,180,37,23,9,3,1338,3,28
Danny Welbeck,ENG,FW,33,23.5,491,472,18,2,0,0,3,2,0,0,0,0,417,1,13
Lewis Dunk,ENG,DF,32,23.1,1953,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
João Pedro,BRA,"FW,MF",22,21.6,661,631,26,5,10,3,22,9,4,0,0,0,482,4,20
Yasin Ayari,SWE,MF,20,21.8,973,880,92,34,10,1,69,3,37,27,6,1,793,1,14
Jack Hinshelwood,ENG,"MF,DF",19,20.5,1046,927,118,27,0,8,27,75,8,4,1,1,870,1,11
Yankuba Minteh,GAM,"FW,MF",20,20.4,557,510,45,9,4,4,91,20,16,7,6,0,348,2,36
Joël Veltman,NED,DF,32,18.9,929,756,170,42,2,3,24,128,0,0,0,0,745,3,21
Georginio Rutter,FRA,"MF,FW",22,18.4,355,344,9,0,12,0,9,0,0,0,0,0,237,2,14
Simon Adingra,CIV,"FW,MF",22,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12
Matt O'Riley,DEN,MF,23,10.4,413,345,67,13,2,2,51,1,36,23,8,0,316,1,15
Adam Webster,ENG,DF,29,9.9,725,650,73,30,0,3,2,0,0,0,0,0,636,2,5
Mats Wieffer,NED,"DF,MF",24,11.3,698,647,49,13,0,1,13,36,0,0,0,0,594,2,14
Igor,BRA,DF,26,10.7,730,680,48,12,3,4,4,11,0,0,0,0,671,2,5
Tariq Lamptey,GHA,DF,23,9.6,413,346,66,5,0,1,28,60,1,1,0,0,335,1,6
Brajan Gruda,GER,"MF,FW",20,7.6,251,211,40,7,2,2,29,10,17,8,7,1,187,0,3
Ferdi Kadioglu,TUR,"DF,MF",24,4.3,175,157,17,2,1,0,9,15,0,0,0,0,144,1,1
Diego Gómez,PAR,MF,21,5.7,302,283,19,2,4,2,12,1,6,2,3,0,243,0,9
James Milner,ENG,MF,38,1.9,74,63,11,4,2,0,8,0,6,2,3,0,55,0,1
Julio Enciso,PAR,"MF,FW",20,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5
Evan Ferguson,IRL,FW,19,2.7,58,52,5,0,0,0,0,0,0,0,0,0,43,1,1
Jason Steele,ENG,GK,33,2.0,112,104,8,6,0,0,0,0,0,0,0,0,101,0,0
Solly March,ENG,"FW,MF",30,1.9,95,81,14,1,0,1,20,6,6,3,2,1,60,0,7
Billy Gilmour,SCO,MF,23,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
Eiran Cashin,IRL,DF,22,0.2,28,28,0,0,0,0,1,0,0,0,0,0,23,0,0
Jakub Moder,POL,MF,25,0.1,22,22,0,0,0,0,1,0,0,0,0,0,18,0,0
Jeremy Sarmiento,ECU,MF,22,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Harry Howell,ENG,FW,15,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Squad Total,,,24,38.0,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310
Opponent Total,,,26,38.0,17647,15881,1678,460,53,82,543,634,182,130,23,4,14240,88,334
