player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Jamie Vardy,ENG,FW,37,31.4,389,335,47,0,1,1,11,0,0,0,0,0,258,7,15
James Justin,ENG,DF,26,32.4,1541,1268,270,22,1,2,57,248,0,0,0,0,1205,3,40
Wout Faes,BEL,DF,26,31.3,1564,1507,54,27,2,7,5,6,0,0,0,0,1376,3,7
Victor Bernth Kristiansen,DEN,DF,21,27.6,1321,1067,246,40,1,2,97,189,17,14,2,0,1023,8,24
Wilfred Ndidi,NGA,MF,27,25.8,1045,1020,22,13,4,4,30,9,0,0,0,0,839,3,26
Mads Hermansen,DEN,GK,24,26.5,1073,840,229,86,0,2,0,0,0,0,0,0,654,4,1
Bilal El Khannouss,MAR,"MF,FW",20,24.2,1063,928,130,28,11,8,89,14,36,19,10,1,798,5,26
Boubakary Soumaré,FRA,MF,25,24.1,1234,1220,11,8,3,1,10,3,0,0,0,0,1073,3,15
Conor Coady,ENG,DF,31,19.0,1072,1010,58,29,2,3,0,1,0,0,0,0,977,4,4
Jordan Ayew,GHA,"FW,MF",32,18.2,540,490,49,13,3,2,60,5,28,15,8,3,401,1,11
Harry Winks,ENG,MF,28,17.1,1045,981,61,35,4,2,34,5,16,11,3,0,910,3,11
Stephy Mavididi,ENG,FW,26,17.9,613,588,20,2,6,0,69,11,7,4,2,0,460,5,24
Jannik Vestergaard,DEN,DF,31,15.5,959,890,68,26,0,2,0,0,0,0,0,0,870,1,4
Facundo Buonanotte,ARG,"FW,MF",19,16.9,572,501,67,24,7,4,43,10,26,19,1,0,437,4,9
Luke Thomas,ENG,DF,23,12.3,629,518,108,20,0,0,29,80,8,4,3,0,493,3,14
Caleb Okoli,ITA,DF,23,12.5,648,597,51,21,1,3,1,4,0,0,0,0,559,0,8
Oliver Skipp,ENG,MF,23,12.5,502,497,4,3,2,0,5,1,0,0,0,0,419,1,12
Jakub Stolarczyk,POL,GK,23,10.0,386,286,100,42,0,1,0,0,0,0,0,0,238,0,1
Kasey McAteer,IRL,FW,22,9.5,252,241,7,0,0,0,21,7,0,0,0,0,183,4,13
Bobby De Cordova-Reid,JAM,FW,31,8.3,206,198,8,1,0,0,15,6,0,0,0,0,145,0,15
Patson Daka,ZAM,"FW,MF",25,8.2,147,138,9,0,2,0,3,6,0,0,0,0,106,0,11
Abdul Fatawu Issahaku,GHA,FW,20,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18
Ricardo Pereira,POR,DF,30,4.3,248,207,40,6,0,1,3,34,0,0,0,0,207,1,3
Danny Ward,WAL,GK,31,1.5,53,46,7,0,0,0,0,0,0,0,0,0,41,0,0
Hamza Choudhury,BAN,"MF,DF",26,1.5,84,81,3,0,0,0,5,3,0,0,0,0,72,0,1
Woyo Coulibaly,MLI,DF,25,1.2,57,44,13,0,0,0,0,13,0,0,0,0,48,0,0
Jeremy Monga,,"FW,MF",na,1.2,29,28,1,1,0,0,4,0,0,0,0,0,18,0,5
Odsonne Édouard,FRA,FW,26,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
Jake Evans,,FW,na,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Olabade Aluko,,DF,na,0.0,5,4,1,1,0,0,0,0,0,0,0,0,3,0,0
Will Alves,ENG,FW,19,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Michael Golding,ENG,MF,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,26,38.0,17486,15728,1695,449,52,47,621,664,139,86,29,4,13945,63,319
Opponent Total,,,26,38.0,21079,19351,1667,453,60,133,751,686,230,130,48,1,17576,61,363
