player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Bernd Leno,GER,GK,32,38.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,11,5
Antonee Robinson,USA,DF,26,35.2,95,61,57,31,7,45,95,47.4,50,43,9,34,62,157,133,2
Alex Iwobi,NGA,"FW,MF",28,33.1,44,25,14,21,9,22,34,64.7,12,26,1,25,14,58,29,1
Calvin Bassey,NGA,DF,24,34.2,54,34,35,19,0,22,31,71.0,9,40,17,23,20,74,118,8
Raúl Jiménez,MEX,FW,33,27.7,35,24,9,17,9,8,22,36.4,14,21,5,16,10,45,23,3
Joachim Andersen,DEN,DF,28,28.7,27,18,20,6,1,15,24,62.5,9,37,28,9,34,61,188,1
Saša Lukić,SRB,MF,27,26.0,68,39,22,40,6,23,55,41.8,32,20,7,13,28,96,35,1
Sander Berge,NOR,MF,26,24.7,50,30,23,23,4,27,39,69.2,12,27,8,19,21,71,38,1
Emile Smith Rowe,ENG,MF,24,22.7,31,18,7,14,10,8,24,33.3,16,22,2,20,11,42,16,0
Andreas Pereira,BRA,MF,28,22.4,24,13,8,11,5,10,42,23.8,32,17,2,15,8,32,17,3
Kenny Tete,NED,DF,28,19.7,56,38,29,14,13,23,38,60.5,15,31,12,19,32,88,67,0
Adama Traoré,ESP,"FW,MF",28,19.7,20,13,9,6,5,5,13,38.5,8,7,0,7,1,21,6,4
Timothy Castagne,BEL,DF,28,18.3,46,29,28,15,3,26,45,57.8,19,15,6,9,22,68,83,0
Issa Diop,FRA,DF,27,14.9,26,12,18,8,0,13,18,72.2,5,10,7,3,9,35,72,2
Harry Wilson,WAL,"FW,MF",27,12.9,20,14,13,3,4,12,18,66.7,6,15,1,14,7,27,10,1
Rodrigo Muniz,BRA,FW,23,10.7,10,5,3,5,2,4,4,100.0,0,9,2,7,5,15,14,0
Ryan Sessegnon,ENG,"FW,DF",24,6.4,27,13,11,11,5,9,20,45.0,11,13,1,12,3,30,18,0
Reiss Nelson,ENG,FW,24,5.4,8,6,3,3,2,5,13,38.5,8,11,0,11,5,13,2,0
Jorge Cuenca,ESP,DF,24,3.9,6,2,5,1,0,3,8,37.5,5,4,4,0,2,8,26,0
Tom Cairney,SCO,MF,33,7.0,13,5,5,2,6,4,7,57.1,3,7,1,6,4,17,3,1
Willian,BRA,"FW,MF",35,2.9,4,2,0,3,1,2,6,33.3,4,0,0,0,1,5,1,0
Joshua King,ENG,MF,17,1.4,7,5,3,4,0,0,3,0.0,3,3,0,3,1,8,1,0
Harrison Reed,ENG,MF,29,1.2,6,3,3,2,1,1,3,33.3,2,1,0,1,1,7,3,0
Martial Godo,ENG,"FW,DF",21,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Carlos Vinícius,BRA,"MF,FW",29,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Jay Stansfield,ENG,MF,21,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,28,38.0,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33
Opponent Total,,,26,38.0,535,306,237,226,72,254,542,46.9,288,423,148,275,336,871,995,27
