player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Nathan Collins,IRL,DF,23,38.0,40,24,23,12,5,22,36,61.1,14,77,57,20,34,74,226,3
Bryan Mbeumo,CMR,FW,24,37.9,49,31,18,15,16,21,35,60.0,14,26,3,23,14,63,55,1
Mark Flekken,NED,GK,31,36.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,4
Keane Lewis-Potter,ENG,"DF,FW",23,34.4,49,27,26,16,7,31,50,62.0,19,28,10,18,21,70,76,3
Yoane Wissa,COD,FW,27,32.4,22,12,6,8,8,11,27,40.7,16,29,8,21,8,30,21,3
Mikkel Damsgaard,DEN,"MF,FW",24,32.3,83,44,27,29,27,31,81,38.3,50,40,3,37,27,110,31,2
Christian Nørgaard,DEN,MF,30,31.3,79,49,37,35,7,48,81,59.3,33,52,20,32,49,128,70,1
Sepp van den Berg,NED,DF,22,28.7,39,24,25,10,4,19,29,65.5,10,52,38,14,21,60,134,3
Vitaly Janelt,GER,MF,26,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1
Kevin Schade,GER,FW,22,25.5,39,25,17,10,12,13,23,56.5,10,19,4,15,5,44,34,0
Ethan Pinnock,JAM,DF,31,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4
Kristoffer Ajer,NOR,DF,26,16.0,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0
Yehor Yarmoliuk,UKR,MF,20,16.1,49,28,21,21,7,28,55,50.9,27,26,9,17,13,62,33,0
Mads Roerslev,DEN,DF,25,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0
Mathias Jensen,DEN,MF,28,9.6,14,10,6,6,2,8,16,50.0,8,15,4,11,8,22,13,2
Michael Kayode,ITA,DF,20,5.9,17,11,12,5,0,9,13,69.2,4,3,0,3,7,24,19,0
Fabio Carvalho,POR,"FW,MF",21,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0
Ben Mee,ENG,DF,34,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0
Thiago,BRA,"FW,MF",23,1.9,5,3,2,1,2,0,1,0.0,1,3,0,3,2,7,3,1
Hákon Rafn Valdimarsson,ISL,GK,22,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Edmond-Paris Maghoma,ENG,"MF,FW",23,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0
Rico Henry,ENG,DF,27,1.1,2,2,1,0,1,0,4,0.0,4,4,1,3,1,3,2,0
Yunus Emre Konak,TUR,"FW,MF",18,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0
Kim Jisoo,KOR,DF,19,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Frank Onyeka,NGA,MF,26,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gustavo Nunes,BRA,"FW,MF",18,0.1,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,2,0
Jayden Meghoma,ENG,DF,18,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ryan Trevitt,ENG,MF,21,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Squad Total,,,25,38.0,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28
Opponent Total,,,26,38.0,593,362,273,217,103,293,558,52.5,265,366,106,260,287,880,1036,32
