player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Bruno Guimarães,BRA,MF,26,36.3,83,47,41,30,12,33,69,47.8,36,36,10,26,29,112,44,5
Dan Burn,ENG,DF,32,37.0,39,24,22,15,2,20,36,55.6,16,36,26,10,27,66,197,4
Alexander Isak,SWE,FW,24,30.6,12,5,2,3,7,5,15,33.3,10,18,2,16,3,15,17,1
Fabian Schär,SUI,DF,32,32.6,36,21,16,18,2,14,35,40.0,21,38,25,13,45,81,138,3
Valentino Livramento,ENG,DF,21,31.6,54,36,35,15,4,32,59,54.2,27,37,11,26,23,77,108,1
Jacob Murphy,ENG,FW,29,26.2,28,19,10,12,6,20,44,45.5,24,31,0,31,13,41,35,1
Joelinton,BRA,"MF,FW",27,26.6,57,35,23,23,11,25,44,56.8,19,37,7,30,23,80,47,2
Sandro Tonali,ITA,MF,24,29.2,51,32,22,23,6,25,51,49.0,26,34,11,23,34,85,33,2
Nick Pope,ENG,GK,32,28.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,32,5
Anthony Gordon,ENG,"FW,MF",23,27.0,32,18,9,18,5,12,37,32.4,25,25,2,23,7,39,9,3
Lewis Hall,ENG,DF,19,24.3,58,41,28,22,8,40,74,54.1,34,33,18,15,18,76,75,3
Harvey Barnes,ENG,FW,26,19.5,16,9,4,6,6,3,11,27.3,8,8,2,6,6,22,15,1
Kieran Trippier,ENG,DF,33,14.5,38,21,18,14,6,22,36,61.1,14,11,3,8,12,50,49,0
Joe Willock,ENG,"MF,FW",24,12.1,30,17,15,12,3,18,31,58.1,13,24,6,18,6,36,7,0
Martin Dúbravka,SVK,GK,35,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Sean Longstaff,ENG,MF,26,8.9,27,16,10,9,8,18,27,66.7,9,17,5,12,7,34,8,0
Sven Botman,NED,DF,24,4.6,12,9,6,5,1,7,9,77.8,2,5,4,1,5,17,25,1
Lloyd Kelly,ENG,DF,25,3.4,5,4,4,1,0,1,1,100.0,0,6,4,2,1,6,17,0
Callum Wilson,ENG,FW,32,4.1,2,2,0,1,1,0,2,0.0,2,2,0,2,1,3,1,0
Emil Krafth,SWE,DF,29,3.8,4,2,2,1,1,2,3,66.7,1,5,4,1,2,6,16,0
Lewis Miley,ENG,MF,18,3.5,14,11,5,7,2,7,14,50.0,7,5,1,4,2,16,5,2
Miguel Almirón,PAR,FW,30,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0
William Osula,DEN,FW,20,1.5,2,0,1,0,1,0,2,0.0,2,0,0,0,4,6,2,0
Matt Targett,ENG,DF,28,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Squad Total,,,27,38.0,603,371,275,235,93,306,604,50.7,298,411,141,270,270,873,884,34
Opponent Total,,,26,38.0,736,433,327,298,111,298,580,51.4,282,462,150,312,301,1037,893,44
