player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Bruno Fernandes,POR,MF,29,33.5,84,50,27,38,19,34,85,40.0,51,35,6,29,26,110,35,3
André Onana,CMR,GK,28,34.0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,11,4
Noussair Mazraoui,MAR,DF,26,31.5,115,68,58,42,15,59,94,62.8,35,36,9,27,34,149,95,1
Diogo Dalot,POR,DF,25,31.3,68,40,40,22,6,34,52,65.4,18,22,9,13,37,105,72,0
Matthijs de Ligt,NED,DF,24,23.6,30,22,17,12,1,23,32,71.9,9,29,21,8,33,63,96,0
Alejandro Garnacho,ARG,"MF,FW",20,24.4,30,18,11,6,13,12,37,32.4,25,19,0,19,13,43,11,2
Rasmus Højlund,DEN,FW,21,22.3,3,1,0,2,1,0,5,0.0,5,6,0,6,2,5,6,0
Manuel Ugarte Ribeiro,URU,MF,23,19.8,77,49,34,34,9,30,68,44.1,38,33,4,29,27,104,17,2
Amad Diallo,CIV,"MF,FW",22,21.1,38,31,9,20,9,19,32,59.4,13,15,2,13,11,49,19,1
Lisandro Martínez,ARG,DF,26,19.5,40,24,25,12,3,21,36,58.3,15,22,8,14,32,72,57,1
Harry Maguire,ENG,DF,31,19.5,30,15,23,6,1,17,23,73.9,6,15,12,3,40,70,78,1
Kobbie Mainoo,ENG,MF,19,18.3,46,29,18,14,14,24,40,60.0,16,16,2,14,19,65,14,1
Casemiro,BRA,MF,32,16.6,83,50,50,23,10,45,74,60.8,29,39,10,29,14,97,51,3
Joshua Zirkzee,NED,"FW,MF",23,15.6,14,8,3,8,3,5,10,50.0,5,15,4,11,6,20,8,1
Leny Yoro,FRA,DF,18,12.9,29,11,19,9,1,13,19,68.4,6,5,3,2,18,47,43,0
Marcus Rashford,ENG,"FW,MF",26,10.9,7,4,2,2,3,3,9,33.3,6,8,0,8,4,11,7,0
Christian Eriksen,DEN,MF,32,11.8,19,9,4,12,3,11,27,40.7,16,15,5,10,7,26,8,0
Patrick Dorgu,DEN,DF,19,9.4,31,24,15,14,2,16,23,69.6,7,11,0,11,4,35,23,2
Mason Mount,ENG,MF,25,6.9,15,5,5,8,2,9,12,75.0,3,11,1,10,4,19,4,0
Victor Lindelöf,SWE,DF,30,7.8,7,2,5,1,1,3,4,75.0,1,6,4,2,8,15,36,2
Altay Bayındır,TUR,GK,26,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1
Luke Shaw,ENG,DF,29,3.9,4,3,2,2,0,2,2,100.0,0,6,1,5,2,6,7,0
Harry Amass,ENG,DF,17,3.8,6,2,5,1,0,2,8,25.0,6,11,1,10,2,8,11,0
Jonny Evans,NIR,DF,36,3.5,8,6,4,4,0,3,6,50.0,3,3,2,1,5,13,15,0
Ayden Heaven,ENG,DF,17,1.9,4,3,1,3,0,2,2,100.0,0,2,2,0,4,8,9,0
Tyler Fredricson,ENG,DF,19,1.8,5,3,3,2,0,1,2,50.0,1,2,0,2,1,6,11,0
Tyrell Malacia,NED,DF,24,1.1,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,1,1
Chidozie Obi-Martin,DEN,FW,16,1.8,2,1,0,0,2,2,2,100.0,0,0,0,0,0,2,1,0
Toby Collyer,ENG,MF,20,2.0,12,9,6,6,0,5,6,83.3,1,2,1,1,2,14,3,0
Antony,BRA,"DF,MF",24,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0
Scott McTominay,SCO,MF,27,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Squad Total,,,25,38.0,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26
Opponent Total,,,26,38.0,676,414,315,257,104,323,575,56.2,252,475,164,311,325,1001,858,20
