player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Kyle Walker-Peters,ENG,DF,28,32.4,44,29,22,15,7,16,35,45.7,19,27,15,12,19,63,90,1
Mateus Fernandes,POR,MF,20,30.3,86,46,43,28,15,33,66,50.0,33,41,7,34,26,112,34,7
Taylor Harwood-Bellis,ENG,DF,23,30.5,27,19,13,11,3,19,35,54.3,16,62,40,22,30,57,137,6
Jan Bednarek,POL,DF,29,28.1,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5
Aaron Ramsdale,ENG,GK,27,28.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,9,2
Flynn Downes,ENG,MF,26,21.9,46,24,21,20,5,15,35,42.9,20,24,6,18,31,77,46,4
Joe Aribo,NGA,"MF,DF",28,21.7,47,33,17,24,6,17,35,48.6,18,26,10,16,20,67,32,3
Tyler Dibling,ENG,"FW,MF",19,20.1,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,16,1
Ryan Manning,IRL,"DF,MF",28,16.2,28,17,16,10,2,14,26,53.8,12,20,11,9,17,45,47,0
Lesley Ugochukwu,FRA,MF,21,17.4,49,24,15,30,4,18,35,51.4,17,27,10,17,14,63,21,1
Jack Stephens,ENG,DF,31,14.4,32,19,23,9,0,15,27,55.6,12,20,13,7,11,43,49,2
Yukinari Sugawara,JPN,"DF,MF",24,16.3,29,16,14,14,1,18,30,60.0,12,17,7,10,10,39,46,3
Kamaldeen Sulemana,GHA,"FW,MF",23,14.1,17,15,6,4,7,8,13,61.5,5,12,3,9,6,23,9,0
Adam Armstrong,ENG,"FW,MF",28,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0
Cameron Archer,ENG,FW,23,15.5,11,7,6,3,2,2,9,22.2,7,5,1,4,2,13,10,0
James Bree,ENG,DF,27,10.9,18,13,8,9,1,10,25,40.0,15,9,3,6,8,26,28,0
Paul Onuachu,NGA,FW,30,11.4,7,2,1,5,1,3,7,42.9,4,7,2,5,1,8,16,1
Nathan Wood-Gordon,ENG,DF,22,6.9,10,7,6,3,1,5,8,62.5,3,8,5,3,4,14,26,2
William Smallbone,IRL,MF,25,7.2,18,11,8,8,2,7,21,33.3,14,8,0,8,2,20,12,2
Alex McCarthy,ENG,GK,35,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,4
Adam Lallana,ENG,MF,37,4.0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0
Ben Brereton,CHI,FW,26,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0
Ryan Fraser,SCO,"FW,DF",31,3.4,6,2,2,4,0,4,6,66.7,2,1,1,0,1,7,9,0
Welington,BRA,"DF,MF",24,3.4,16,5,12,3,1,10,15,66.7,5,3,1,2,6,22,21,0
Ross Stewart,SCO,FW,28,3.2,3,2,1,0,2,2,6,33.3,4,3,0,3,0,3,6,0
Joe Lumley,ENG,GK,30,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
Armel Bella Kotchap,GER,DF,23,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1
Charlie Taylor,ENG,DF,31,3.0,7,5,4,3,0,5,6,83.3,1,5,3,2,3,10,22,1
Albert Grønbaek,DEN,"FW,MF",23,1.6,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0
Maxwel Cornet,CIV,FW,28,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0
Samuel Edozie,ENG,"DF,FW",22,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0
Jay Robinson,ENG,"MF,FW",18,0.4,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0
Samuel Amo-Ameyaw,ENG,"FW,DF",18,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Ronnie Edwards,ENG,DF,22,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Carlos Alcaraz,ARG,MF,22,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Squad Total,,,26,36.0,616,358,289,256,71,268,557,48.1,289,407,186,221,291,907,921,49
Opponent Total,,,27,36.0,645,384,243,279,123,313,599,52.3,286,343,120,223,298,943,709,9
