player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Dara O'Shea,IRL,DF,25,34.7,49,31,33,13,3,22,34,64.7,12,62,50,12,33,82,225,4
Leif Davis,ENG,DF,24,30.5,46,27,33,9,4,30,48,62.5,18,25,8,17,25,71,77,3
Liam Delap,ENG,FW,21,28.8,11,8,3,3,5,2,15,13.3,13,8,0,8,2,13,28,0
Sam Morsy,EGY,MF,32,30.6,68,41,40,24,4,27,62,43.5,35,34,13,21,29,97,47,5
Omari Hutchinson,ENG,"MF,FW",20,28.7,32,13,14,10,8,13,48,27.1,35,27,2,25,11,43,15,1
Jacob Greaves,ENG,DF,23,24.5,40,21,20,17,3,22,35,62.9,13,41,26,15,21,61,148,3
Jens Cajuste,SWE,MF,24,21.8,44,22,19,23,2,21,49,42.9,28,25,10,15,28,72,33,2
Axel Tuanzebe,COD,DF,26,19.0,31,19,21,4,6,17,26,65.4,9,21,10,11,23,54,56,1
Arijanet Muric,KVX,GK,25,18.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,5
Cameron Burgess,AUS,DF,28,17.1,17,12,14,3,0,9,11,81.8,2,20,15,5,14,31,128,3
Ben Johnson,ENG,"DF,FW",24,15.0,38,22,23,12,3,20,41,48.8,21,22,5,17,13,51,54,1
Kalvin Phillips,ENG,MF,28,13.7,35,19,8,20,7,15,39,38.5,24,35,6,29,19,54,37,2
Alex Palmer,ENG,GK,27,13.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,0
Sammie Szmodics,IRL,"FW,MF",28,11.0,16,10,4,10,2,7,26,26.9,19,10,2,8,6,22,14,0
Luke Woolfenden,ENG,DF,25,13.2,9,6,5,4,0,2,5,40.0,3,21,14,7,19,28,76,0
Jack Clarke,ENG,"FW,MF",23,13.1,32,20,11,10,11,17,34,50.0,17,9,0,9,7,39,29,2
Wes Burns,WAL,"FW,DF",29,10.3,13,11,1,9,3,4,10,40.0,6,7,2,5,10,23,13,2
Julio Enciso,PAR,"MF,FW",20,9.7,12,9,3,6,3,4,11,36.4,7,8,1,7,1,13,6,0
Conor Chaplin,ENG,"MF,FW",27,9.5,15,5,6,6,3,6,14,42.9,8,8,1,7,4,19,3,0
Nathan Broadhead,WAL,"MF,FW",26,7.8,9,4,3,6,0,3,12,25.0,9,8,1,7,4,13,5,0
Christian Walton,ENG,GK,28,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1
George Hirst,SCO,FW,25,7.3,3,3,1,0,2,1,4,25.0,3,1,1,0,2,5,10,0
Jaden Philogene Bidace,ENG,"FW,DF",22,5.3,14,7,6,6,2,8,15,53.3,7,11,1,10,10,24,9,1
Jack Taylor,IRL,MF,26,9.6,20,10,6,11,3,12,27,44.4,15,12,3,9,9,29,24,0
Harry Clarke,ENG,DF,23,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3
Conor Townsend,ENG,DF,31,3.7,11,8,9,2,0,8,11,72.7,3,8,6,2,4,15,16,0
Chiedozie Ogbene,IRL,FW,27,2.6,7,3,1,2,4,2,4,50.0,2,1,0,1,1,8,3,0
Massimo Luongo,AUS,MF,31,2.2,9,6,6,2,1,5,8,62.5,3,4,2,2,2,11,2,0
Ben Godfrey,ENG,DF,26,1.8,1,0,1,0,0,1,1,100.0,0,1,1,0,2,3,3,0
Ali Al Hamadi,IRQ,FW,22,1.5,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0
Marcus Harness,ENG,MF,28,0.5,1,0,0,0,1,0,3,0.0,3,2,1,1,0,1,1,0
George Edmundson,ENG,DF,26,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,25,38.0,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39
Opponent Total,,,26,38.0,637,366,274,260,103,290,567,51.1,277,366,110,256,242,879,744,23
