player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Dean Henderson,ENG,GK,27,38.0,2,1,2,0,0,2,6,33.3,4,0,0,0,0,2,22,0
Daniel Muñoz,COL,DF,28,35.9,123,80,57,41,25,55,97,56.7,42,40,6,34,44,167,108,1
Tyrick Mitchell,ENG,DF,24,34.4,91,55,57,27,7,25,46,54.3,21,68,12,56,19,110,108,2
Maxence Lacroix,FRA,DF,24,34.6,68,41,52,15,1,32,47,68.1,15,48,22,26,54,122,207,2
Marc Guéhi,ENG,DF,24,34.0,61,34,36,23,2,31,47,66.0,16,55,23,32,28,89,163,2
Jean-Philippe Mateta,FRA,FW,27,29.4,18,12,5,11,2,3,16,18.8,13,19,4,15,2,20,23,0
Eberechi Eze,ENG,"MF,FW",26,28.8,39,22,14,16,9,17,36,47.2,19,27,0,27,11,50,10,3
Ismaila Sarr,SEN,MF,26,30.1,22,10,10,9,3,8,25,32.0,17,27,8,19,9,31,40,0
Jefferson Lerma,COL,"MF,DF",29,25.3,35,17,15,16,4,19,36,52.8,17,38,18,20,42,77,80,1
Will Hughes,ENG,MF,29,23.4,66,36,20,33,13,28,62,45.2,34,31,14,17,22,88,28,3
Chris Richards,USA,DF,24,21.4,47,30,24,17,6,24,41,58.5,17,40,14,26,19,66,121,0
Adam Wharton,ENG,MF,20,14.6,34,14,14,16,4,17,44,38.6,27,11,2,9,20,54,27,0
Daichi Kamada,JPN,MF,27,17.4,47,29,19,24,4,14,41,34.1,27,22,5,17,18,65,14,0
Trevoh Chalobah,ENG,DF,25,11.8,20,16,7,12,1,12,23,52.2,11,19,9,10,19,39,57,3
Eddie Nketiah,ENG,"FW,MF",25,11.5,15,8,7,4,4,7,13,53.8,6,10,1,9,3,18,12,0
Nathaniel Clyne,ENG,"DF,MF",33,5.4,12,8,8,3,1,6,11,54.5,5,4,2,2,3,15,14,1
Justin Devenny,NIR,MF,20,5.6,17,12,7,9,1,8,19,42.1,11,6,1,5,0,17,11,0
Cheick Doucouré,MLI,MF,24,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1
Ben Chilwell,ENG,DF,27,2.9,7,6,4,3,0,1,5,20.0,4,6,2,4,6,13,16,0
Romain Esse,ENG,MF,19,1.5,9,6,4,3,2,5,5,100.0,0,2,0,2,1,10,2,0
Odsonne Édouard,FRA,"MF,FW",26,1.3,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0
Joachim Andersen,DEN,DF,28,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0
Chadi Riad,MAR,DF,21,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0
Joel Ward,ENG,DF,34,0.8,2,0,0,2,0,0,0,,0,0,0,0,0,2,3,0
Jeffrey Schlupp,GHA,"MF,DF",31,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0
Matheus França,BRA,"MF,FW",20,0.6,2,0,0,2,0,0,0,,0,1,1,0,1,3,1,0
Jordan Ayew,GHA,"FW,MF",32,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Caleb Kporha,ENG,DF,18,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0
Asher Agbinone,ENG,MF,18,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
Squad Total,,,26,38.0,767,450,374,299,94,324,643,50.4,319,485,144,341,334,1101,1088,19
Opponent Total,,,26,38.0,580,319,203,264,113,241,450,53.6,209,417,145,272,342,922,874,35
