player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Bart Verbruggen,NED,GK,21,36.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,29,5
Jan Paul van Hecke,NED,DF,24,32.9,45,29,24,19,2,23,41,56.1,18,37,22,15,24,69,142,2
Carlos Baleba,CMR,MF,20,29.6,79,46,26,37,16,48,80,60.0,32,47,11,36,46,125,44,1
Kaoru Mitoma,JPN,"FW,MF",27,28.9,45,27,15,14,16,19,49,38.8,30,48,3,45,14,59,10,0
Pervis Estupiñán,ECU,DF,26,26.7,65,43,33,25,7,34,51,66.7,17,20,5,15,37,102,65,2
Danny Welbeck,ENG,FW,33,23.5,26,16,6,15,5,8,20,40.0,12,19,4,15,5,31,14,0
Lewis Dunk,ENG,DF,32,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2
João Pedro,BRA,"FW,MF",22,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
Yasin Ayari,SWE,MF,20,21.8,59,32,15,31,13,26,56,46.4,30,24,6,18,20,79,26,0
Jack Hinshelwood,ENG,"MF,DF",19,20.5,27,19,8,10,9,11,27,40.7,16,10,3,7,16,43,37,1
Yankuba Minteh,GAM,"FW,MF",20,20.4,48,35,25,13,10,17,45,37.8,28,22,0,22,11,59,31,0
Joël Veltman,NED,DF,32,18.9,43,29,24,16,3,31,52,59.6,21,22,7,15,19,62,66,0
Georginio Rutter,FRA,"MF,FW",22,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2
Simon Adingra,CIV,"FW,MF",22,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2
Matt O'Riley,DEN,MF,23,10.4,16,9,4,8,4,4,13,30.8,9,7,3,4,13,29,9,1
Adam Webster,ENG,DF,29,9.9,10,6,5,4,1,6,14,42.9,8,16,9,7,20,30,41,2
Mats Wieffer,NED,"DF,MF",24,11.3,58,34,27,27,4,32,47,68.1,15,18,2,16,17,75,28,3
Igor,BRA,DF,26,10.7,5,5,2,2,1,4,10,40.0,6,24,14,10,4,9,39,1
Tariq Lamptey,GHA,DF,23,9.6,17,11,8,9,0,9,25,36.0,16,15,7,8,7,24,23,1
Brajan Gruda,GER,"MF,FW",20,7.6,16,8,6,6,4,7,14,50.0,7,8,0,8,2,18,5,1
Ferdi Kadioglu,TUR,"DF,MF",24,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
Diego Gómez,PAR,MF,21,5.7,21,13,11,8,2,12,22,54.5,10,13,0,13,8,29,10,1
James Milner,ENG,MF,38,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
Julio Enciso,PAR,"MF,FW",20,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
Evan Ferguson,IRL,FW,19,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0
Jason Steele,ENG,GK,33,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Solly March,ENG,"FW,MF",30,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
Billy Gilmour,SCO,MF,23,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
Eiran Cashin,IRL,DF,22,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Jakub Moder,POL,MF,25,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
Jeremy Sarmiento,ECU,MF,22,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Harry Howell,ENG,FW,15,0.1,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
Squad Total,,,24,38.0,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29
Opponent Total,,,26,38.0,726,408,370,274,82,382,720,53.1,338,409,147,262,320,1046,981,33
