player,nation,position,age,90s_played,tackles,tackles_won,defensive_third_tackles,middle_third_tackles,attacking_third_tackles,dribblers_tackled,dribblers_challenged,dribblers_tackled_percent,challenges_lost,blocks,shots_blocked,passses_blocked,interceptions,tackles_and_interceptions,clearances,shot_leading_errors
Pedro Porro,ESP,DF,24,29.0,66,49,34,22,10,44,77,57.1,33,44,17,27,36,102,84,2
Dejan Kulusevski,SWE,"MF,FW",24,26.5,45,23,17,13,15,19,51,37.3,32,34,5,29,13,58,10,1
Dominic Solanke,ENG,FW,26,24.5,18,11,1,12,5,4,16,25.0,12,20,9,11,1,19,23,0
Brennan Johnson,WAL,FW,23,24.2,39,26,9,20,10,16,34,47.1,18,25,3,22,4,43,14,0
Guglielmo Vicario,ITA,GK,27,24.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,6
Son Heung-min,KOR,FW,32,23.4,17,9,3,8,6,5,27,18.5,22,11,0,11,5,22,17,1
Destiny Udogie,ITA,DF,21,21.4,75,47,42,26,7,33,48,68.8,15,40,6,34,22,97,36,1
Pape Matar Sarr,SEN,MF,21,21.3,49,36,19,23,7,12,25,48.0,13,26,10,16,30,79,25,1
James Maddison,ENG,MF,27,20.1,31,19,8,16,7,9,29,31.0,20,15,4,11,12,43,19,1
Rodrigo Bentancur,URU,MF,27,18.3,40,22,19,17,4,19,40,47.5,21,25,8,17,40,80,38,1
Djed Spence,ENG,DF,23,19.9,47,34,25,15,7,23,30,76.7,7,28,9,19,21,68,74,2
Archie Gray,ENG,"DF,MF",18,19.5,16,8,4,8,4,7,17,41.2,10,22,11,11,19,35,50,2
Cristian Romero,ARG,DF,26,15.7,35,29,26,8,1,21,30,70.0,9,18,3,15,21,56,57,2
Yves Bissouma,MLI,MF,27,15.6,49,31,20,25,4,19,34,55.9,15,11,6,5,18,67,40,4
Ben Davies,WAL,DF,31,14.8,17,11,8,8,1,9,17,52.9,8,28,19,9,12,29,81,1
Radu Drăgușin,ROU,DF,22,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4
Micky van de Ven,NED,DF,23,11.3,10,6,5,4,1,8,14,57.1,6,12,8,4,10,20,39,1
Lucas Bergvall,SWE,MF,18,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3
Mathys Tel,FRA,FW,19,10.1,16,6,5,6,5,5,13,38.5,8,8,1,7,2,18,8,2
Wilson Odobert,FRA,"FW,MF",19,9.4,14,5,5,4,5,8,14,57.1,6,6,0,6,4,18,5,1
Kevin Danso,AUT,DF,25,9.4,7,5,4,3,0,6,11,54.5,5,15,14,1,6,13,71,1
Fraser Forster,ENG,GK,36,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3
Antonín Kinský,CZE,GK,21,6.0,3,1,3,0,0,1,1,100.0,0,0,0,0,0,3,9,1
Timo Werner,GER,"FW,MF",28,5.7,6,4,3,3,0,3,13,23.1,10,10,1,9,1,7,7,0
Richarlison,BRA,FW,27,5.6,5,3,0,4,1,0,3,0.0,3,1,1,0,0,5,8,0
Mikey Moore,ENG,FW,16,4.1,2,1,2,0,0,0,4,0.0,4,2,0,2,1,3,4,0
Sergio Reguilón,ESP,DF,27,2.2,4,3,1,3,0,2,5,40.0,3,7,0,7,4,8,8,0
Brandon Austin,ENG,GK,25,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Dane Scarlett,ENG,"FW,MF",20,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
Alfie Dorrington,ENG,DF,19,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Will Lankshear,ENG,"FW,MF",19,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,25,38.0,661,414,285,271,105,296,598,49.5,302,448,159,289,322,983,821,41
Opponent Total,,,26,38.0,851,548,402,336,113,425,733,58.0,308,509,137,372,391,1242,903,36
