Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Alphonse Areola,fr FRA,GK,32-321,17.0,32,5,0,6,1,29.1,0.28,-1.9,-0.11,92,325,28.3,383,82,52.5,40.1,151,82.1,55.9,300,14,4.7,2,0.12,6.7,Matches
Mads Hermansen,dk DEN,GK,25-187,4.0,11,0,0,6,0,9.3,0.46,-1.7,-0.43,19,72,26.4,141,19,41.1,33.9,16,87.5,61.3,72,5,6.9,1,0.25,8.8,Matches
Squad Total,,,27.0,21.0,43,5,0,12,1,38.4,0.31,-3.6,-0.17,111,397,28.0,506,101,51.2,,185,74.6,51.9,372,19,5.1,3,0.14,,
Opponent Total,,,26.7,21.0,22,2,0,4,2,19.5,0.28,-0.5,-0.02,81,209,38.8,544,86,30.7,32.1,130,32.3,29.7,274,19,6.9,26,1.24,12.8,
