Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,16,0,0,5,0,17.7,0.27,1.7,0.11,85,231,36.8,641,66,31.0,31.6,51,62.7,48.8,235,26,11.1,10,0.61,11.6,Matches
Marco Bizot,nl NED,GK,34-310,4.5,8,1,0,1,1,7.5,0.34,0.5,0.12,15,48,31.3,160,22,20.6,27.1,24,62.5,44.8,62,6,9.7,13,2.89,16.5,Matches
Squad Total,,,28.4,21.0,24,1,0,6,1,25.3,0.29,2.3,0.11,100,279,35.8,699,88,33.2,31.6,177,26.6,25.3,297,32,10.8,23,1.1,11.6,
Opponent Total,,,26.5,21.0,33,0,2,6,1,26.4,0.31,-5.6,-0.26,78,244,32.0,488,89,33.4,33.6,137,59.1,44.4,234,17,7.3,17,0.81,13.6,
