Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,27,1,0,2,0,27.2,0.33,0.2,0.01,89,298,29.9,746,98,32.4,32.3,92,60.9,44.1,290,16,5.5,41,1.95,15.8,Matches
Squad Total,,,25.9,21.0,27,1,0,2,0,27.2,0.33,0.2,0.01,89,298,29.9,667,98,34.2,,171,40.9,33.8,290,16,5.5,41,1.95,,
Opponent Total,,,26.7,21.0,30,0,0,11,1,28.3,0.41,-0.7,-0.03,102,359,28.4,569,71,47.6,39.1,163,54.0,41.4,361,26,7.2,27,1.29,12.4,
