Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,22,0,0,4,1,25.0,0.27,4.0,0.19,98,391,25.1,781,86,37.6,35.4,112,86.6,63.1,372,38,10.2,24,1.14,12.3,Matches
Squad Total,,,25.9,21.0,22,0,0,4,1,25.0,0.27,4.0,0.19,98,391,25.1,708,86,41.5,,185,52.4,41.5,372,38,10.2,24,1.14,,
Opponent Total,,,26.8,21.0,21,2,0,2,2,18.3,0.25,-0.7,-0.03,88,323,27.2,644,82,40.7,36.5,139,43.9,37.6,251,12,4.8,24,1.14,15.5,
