Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,25,2,0,5,0,27.6,0.31,2.6,0.12,173,465,37.2,743,77,51.0,39.8,114,75.4,53.6,311,9,2.9,43,2.05,16.8,Matches
Squad Total,,,28.0,21.0,25,2,0,5,0,27.6,0.31,2.6,0.12,173,465,37.2,693,77,54.7,,164,52.4,40.0,311,9,2.9,43,2.05,,
Opponent Total,,,26.4,21.0,23,1,0,4,1,20.2,0.3,-1.8,-0.09,81,298,27.2,677,102,34.3,33.3,142,46.5,36.7,289,24,8.3,14,0.67,12.1,
