Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Gianluigi Donnarumma,it ITA,GK,26-323,18.0,15,0,0,5,0,16.6,0.32,1.6,0.09,44,126,34.9,466,55,21.9,28.0,48,50.0,37.5,193,7,3.6,13,0.72,12.7,Matches
James Trafford,eng ENG,GK,23-096,3.0,4,1,0,0,0,5.9,0.34,1.9,0.62,10,36,27.8,103,11,27.2,29.6,15,53.3,44.9,26,2,7.7,14,4.67,18.1,Matches
Squad Total,,,25.8,21.0,19,1,0,5,0,22.5,0.32,3.5,0.17,54,162,33.3,514,66,24.7,,118,29.7,27.7,219,9,4.1,27,1.29,,
Opponent Total,,,26.6,21.0,45,2,0,6,3,33.8,0.3,-8.2,-0.39,98,328,29.9,650,81,38.8,35.6,162,46.9,37.2,247,11,4.5,24,1.14,15.2,
