Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Sam Johnstone,eng ENG,GK,32-295,12.0,24,1,0,2,4,18.4,0.3,-1.6,-0.13,113,298,37.9,395,57,57.0,41.4,100,73.0,53.8,213,10,4.7,21,1.75,14.2,Matches
José Sá,pt POR,GK,32-362,9.0,17,0,1,1,0,12.0,0.35,-5.0,-0.56,57,163,35.0,237,32,46.8,38.2,64,81.3,58.0,138,12,8.7,6,0.67,10.8,Matches
Squad Total,,,26.7,21.0,41,1,1,3,4,30.4,0.32,-6.6,-0.32,170,461,36.9,631,89,53.1,41.4,165,76.4,55.5,351,22,6.3,27,1.29,14.2,
Opponent Total,,,26.7,21.0,15,2,0,3,1,17.8,0.24,3.8,0.18,75,237,31.6,527,89,33.2,33.9,125,49.6,41.9,319,17,5.3,18,0.86,13.9,
