Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21.0,41,5,0,7,3,40.1,0.32,2.1,0.1,147,454,32.4,559,92,45.6,35.7,233,85.4,59.9,378,14,3.7,13,0.62,10.0,Matches
Squad Total,,,27.8,21.0,41,5,0,7,3,40.1,0.32,2.1,0.1,147,454,32.4,558,92,45.7,,234,85.0,59.7,378,14,3.7,13,0.62,,
Opponent Total,,,26.6,21.0,22,2,0,2,1,19.3,0.3,-1.7,-0.08,87,234,37.2,604,85,31.5,32.4,120,36.7,32.9,205,14,6.8,28,1.33,15.2,
