Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Matz Sels,be BEL,GK,33-322,16.1,26,3,1,6,2,23.8,0.29,-0.2,-0.01,71,243,29.2,384,60,51.3,38.8,103,44.7,39.0,223,10,4.5,19,1.18,15.6,Matches
John,br BRA,GK,29-335,4.9,8,1,0,1,0,5.2,0.32,-2.8,-0.58,27,72,37.5,106,7,49.1,39.5,31,64.5,45.5,44,1,2.3,7,1.44,16.8,Matches
Squad Total,,,26.2,21.0,34,4,1,7,2,29.0,0.3,-3.0,-0.14,98,315,31.1,467,67,53.3,,157,42.0,36.5,267,11,4.1,26,1.24,,
Opponent Total,,,26.6,21.0,21,2,0,4,0,23.6,0.27,2.6,0.12,74,296,25.0,662,117,35.8,35.1,164,36.0,31.2,397,23,5.8,17,0.81,11.7,
