Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21.0,28,4,0,3,3,29.1,0.3,4.1,0.19,56,218,25.7,869,89,21.5,28.3,55,56.4,43.1,264,11,4.2,26,1.24,14.4,Matches
Squad Total,,,25.9,21.0,28,4,0,3,3,29.1,0.3,4.1,0.19,56,218,25.7,759,89,24.5,,165,19.4,20.7,264,11,4.2,26,1.24,,
Opponent Total,,,26.7,21.0,31,3,1,6,1,32.4,0.33,2.4,0.11,125,400,31.3,716,105,39.9,35.7,200,57.0,43.3,271,22,8.1,32,1.52,15.2,
