Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21.0,40,3,2,8,1,33.5,0.32,-5.5,-0.26,80,252,31.7,467,101,35.5,33.2,136,63.2,48.6,274,22,8.0,35,1.67,13.8,Matches
Squad Total,,,25.7,21.0,40,3,2,8,1,33.5,0.32,-5.5,-0.26,80,252,31.7,442,101,36.9,,161,55.3,43.7,274,22,8.0,35,1.67,,
Opponent Total,,,26.7,21.0,34,2,2,3,0,30.8,0.29,-3.2,-0.15,140,386,36.3,665,86,43.5,37.5,172,56.4,41.7,349,19,5.4,24,1.14,13.7,
