Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
Alisson,br BRA,GK,33-104,16.0,18,1,0,5,0,17.3,0.33,-0.7,-0.04,41,133,30.8,532,71,23.1,29.1,35,28.6,30.9,196,12,6.1,16,1.0,13.3,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5.0,10,1,0,2,0,7.6,0.22,-2.4,-0.48,19,59,32.2,176,32,27.8,30.6,25,40.0,34.8,60,2,3.3,9,1.8,16.8,Matches
Squad Total,,,27.0,21.0,28,2,0,7,0,24.9,0.3,-3.1,-0.15,60,192,31.3,630,103,24.9,,138,25.4,26.9,256,14,5.5,25,1.19,,
Opponent Total,,,26.8,21.0,32,1,1,1,1,28.2,0.34,-2.8,-0.13,113,466,24.2,644,86,51.9,41.5,202,65.3,49.1,333,18,5.4,23,1.1,13.6,
