player,nation,position,age,90s_played,goals_against,pk_allowed,fk_goals_against,corner_goals_against,ogs_against_gk,post_shot_xg,post_shot_xg_per_shot_on_target,post_shot_xg_goals_allowed_diff,post_shot_xg_goals_allowed_p90_diff,launched_passes_completed,launched_passes_attempted,pass_completion_percent,passes_attempted_non_goal_kick,throws_attempted,non_goal_kick_launch_percent,non_goal_kick_avg_pass_length,goal_kicks_attempted,launched_goal_kick_percentage,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_percent,defensive_actions_outside_pen_area,defensive_actions_outside_pen_area_per_ninety,avg_distance_of_defensive_actions
Guglielmo Vicario,ITA,GK,28,23.0,33,0,0,4,2,33.3,0.36,2.3,0.1,25,89,28.1,778,117,10.2,22.6,63,15.9,23.1,286,29,10.1,31,1.35,13.4
Fraser Forster,ENG,GK,37,7.0,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1
Antonín Kinský,CZE,GK,22,5.0,9,0,0,0,2,7.8,0.31,0.8,0.17,13,42,31.0,157,26,24.8,30.2,23,13.0,22.0,93,5,5.4,7,1.4,11.8
Brandon Austin,ENG,GK,26,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.0,12.4
Squad Total,,,25,36.0,59,2,0,5,4,59.9,0.36,4.9,0.14,52,173,30.1,993,178,15.8,27.2,257,6.2,15.6,475,43,9.1,43,1.19,11.1
Opponent Total,,,27,36.0,63,2,1,9,3,56.1,0.31,-3.9,-0.11,210,607,34.6,951,143,47.0,38.4,266,60.2,45.0,565,32,5.7,26,0.72,12.0
