player,nation,position,age,90s_played,goals_against,pk_allowed,fk_goals_against,corner_goals_against,ogs_against_gk,post_shot_xg,post_shot_xg_per_shot_on_target,post_shot_xg_goals_allowed_diff,post_shot_xg_goals_allowed_p90_diff,launched_passes_completed,launched_passes_attempted,pass_completion_percent,passes_attempted_non_goal_kick,throws_attempted,non_goal_kick_launch_percent,non_goal_kick_avg_pass_length,goal_kicks_attempted,launched_goal_kick_percentage,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_percent,defensive_actions_outside_pen_area,defensive_actions_outside_pen_area_per_ninety,avg_distance_of_defensive_actions
Nick Pope,ENG,GK,32,28.0,35,1,0,3,2,34.8,0.28,1.8,0.06,72,257,28.0,595,192,25.7,30.7,187,55.6,43.6,359,39,10.9,64,2.29,16.0
Martin Dúbravka,SVK,GK,35,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3
Squad Total,,,27,38.0,47,1,0,4,2,47.7,0.29,2.7,0.07,90,337,26.7,863,246,22.7,,251,56.2,43.6,486,49,10.1,75,1.97,
Opponent Total,,,26,38.0,68,5,0,5,2,65.3,0.36,-0.7,-0.02,268,777,34.5,1175,160,51.3,40.1,310,56.1,42.1,535,44,8.2,44,1.16,12.8
