player,nation,position,age,90s_played,goals_against,pk_allowed,fk_goals_against,corner_goals_against,ogs_against_gk,post_shot_xg,post_shot_xg_per_shot_on_target,post_shot_xg_goals_allowed_diff,post_shot_xg_goals_allowed_p90_diff,launched_passes_completed,launched_passes_attempted,pass_completion_percent,passes_attempted_non_goal_kick,throws_attempted,non_goal_kick_launch_percent,non_goal_kick_avg_pass_length,goal_kicks_attempted,launched_goal_kick_percentage,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_percent,defensive_actions_outside_pen_area,defensive_actions_outside_pen_area_per_ninety,avg_distance_of_defensive_actions
Jordan Pickford,ENG,GK,31,36.0,44,0,1,6,0,45.9,0.29,1.9,0.05,287,755,38.0,1273,157,48.4,39.5,223,62.3,48.4,521,27,5.2,56,1.56,15.2
Squad Total,,,28,36.0,44,0,1,6,0,45.9,0.29,1.9,0.05,287,755,38.0,1227,157,50.2,,269,51.7,41.7,521,27,5.2,56,1.56,
Opponent Total,,,27,36.0,39,2,1,4,3,36.5,0.27,0.5,0.01,97,311,31.2,1057,187,22.6,29.2,227,31.7,29.8,512,41,8.0,29,0.81,12.3
