player,nation,position,age,90s_played,goals_against,pk_allowed,fk_goals_against,corner_goals_against,ogs_against_gk,post_shot_xg,post_shot_xg_per_shot_on_target,post_shot_xg_goals_allowed_diff,post_shot_xg_goals_allowed_p90_diff,launched_passes_completed,launched_passes_attempted,pass_completion_percent,passes_attempted_non_goal_kick,throws_attempted,non_goal_kick_launch_percent,non_goal_kick_avg_pass_length,goal_kicks_attempted,launched_goal_kick_percentage,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_percent,defensive_actions_outside_pen_area,defensive_actions_outside_pen_area_per_ninety,avg_distance_of_defensive_actions
Bernd Leno,GER,GK,32,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3
Squad Total,,,28,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1138,167,24.5,,265,33.2,30.2,507,23,4.5,33,0.87,
Opponent Total,,,26,38.0,54,3,0,3,1,55.3,0.31,2.3,0.06,140,480,29.2,1017,166,35.0,34.2,296,41.9,35.6,661,33,5.0,48,1.26,14.6
