player,nation,position,age,90s_played,goals_against,pk_allowed,fk_goals_against,corner_goals_against,ogs_against_gk,post_shot_xg,post_shot_xg_per_shot_on_target,post_shot_xg_goals_allowed_diff,post_shot_xg_goals_allowed_p90_diff,launched_passes_completed,launched_passes_attempted,pass_completion_percent,passes_attempted_non_goal_kick,throws_attempted,non_goal_kick_launch_percent,non_goal_kick_avg_pass_length,goal_kicks_attempted,launched_goal_kick_percentage,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_percent,defensive_actions_outside_pen_area,defensive_actions_outside_pen_area_per_ninety,avg_distance_of_defensive_actions
Ederson,BRA,GK,31,23.8,25,2,0,3,1,27.8,0.37,3.8,0.16,65,146,44.5,771,92,17.0,27.6,68,22.1,31.8,204,11,5.4,43,1.81,17.8
Stefan Ortega,GER,GK,32,12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3
Squad Total,,,27,36.0,43,4,1,4,2,44.1,0.35,3.1,0.09,105,250,42.0,1119,147,19.3,,178,19.1,23.9,337,17,5.0,55,1.53,
Opponent Total,,,27,36.0,67,2,1,6,1,65.4,0.32,-0.6,-0.02,184,546,33.7,1135,148,37.4,34.2,286,42.3,35.9,464,34,7.3,26,0.72,11.9
