player,nation,position,age,90s_played,goals_against,pk_allowed,fk_goals_against,corner_goals_against,ogs_against_gk,post_shot_xg,post_shot_xg_per_shot_on_target,post_shot_xg_goals_allowed_diff,post_shot_xg_goals_allowed_p90_diff,launched_passes_completed,launched_passes_attempted,pass_completion_percent,passes_attempted_non_goal_kick,throws_attempted,non_goal_kick_launch_percent,non_goal_kick_avg_pass_length,goal_kicks_attempted,launched_goal_kick_percentage,avg_goal_kick_length,crosses_faced,crosses_stopped,crosses_stopped_percent,defensive_actions_outside_pen_area,defensive_actions_outside_pen_area_per_ninety,avg_distance_of_defensive_actions
Matz Sels,BEL,GK,32,38.0,46,3,1,5,0,49.1,0.29,3.1,0.08,244,698,35.0,715,83,68.4,44.7,270,77.4,54.3,710,19,2.7,12,0.32,8.7
Squad Total,,,26,38.0,46,3,1,5,0,49.1,0.29,3.1,0.08,244,698,35.0,662,83,73.7,,323,65.0,47.0,710,19,2.7,12,0.32,
Opponent Total,,,26,38.0,58,3,0,10,1,53.6,0.32,-3.4,-0.09,86,335,25.7,1012,184,26.8,30.3,261,24.5,26.1,492,36,7.3,51,1.34,14.2
