Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21,21,1890.0,21.0,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,1.8,1.0,2.2,3.2,29.0,177.0,56.0,0.05,0.1,0.14,0.0,0.1,0.08,0.11,0.19,0.05,0.15,Matches
Nikola Milenković,rs SRB,DF,28-094,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.3,1.1,5.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Neco Williams,wls WAL,DF,24-276,21,21,1890.0,21.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,2.1,3.3,39.0,91.0,94.0,0.05,0.05,0.1,0.05,0.1,0.06,0.1,0.16,0.06,0.16,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,21,20,1781.0,19.8,5.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,5.9,5.1,1.2,6.3,41.0,124.0,135.0,0.25,0.05,0.3,0.2,0.25,0.3,0.06,0.36,0.26,0.32,Matches
Matz Sels,be BEL,GK,33-322,17,16,1453.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Murillo,br BRA,DF,23-194,15,15,1279.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.2,0.7,5.0,61.0,2.0,0.07,0.0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,Matches
Dan Ndoye,ch SUI,FW,25-081,15,14,996.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.0,1.8,42.0,25.0,95.0,0.09,0.09,0.18,0.09,0.18,0.07,0.09,0.16,0.07,0.16,Matches
Igor Jesus,br BRA,FW,24-323,20,13,1148.0,12.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.4,3.4,1.2,4.6,10.0,18.0,69.0,0.08,0.08,0.16,0.08,0.16,0.27,0.1,0.36,0.27,0.36,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,19,11,1120.0,12.4,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.8,1.8,2.2,4.0,63.0,41.0,139.0,0.24,0.08,0.32,0.24,0.32,0.15,0.18,0.32,0.15,0.32,Matches
Nicolò Savona,it ITA,DF,22-301,14,11,1028.0,11.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,0.4,1.8,11.0,30.0,37.0,0.18,0.0,0.18,0.18,0.18,0.12,0.04,0.16,0.12,0.16,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,13,11,865.0,9.6,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.9,1.7,10.0,58.0,5.0,0.21,0.21,0.42,0.21,0.42,0.08,0.1,0.17,0.08,0.17,Matches
Omari Hutchinson,eng ENG,FW,22-076,16,8,884.0,9.8,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,2.3,3.9,46.0,22.0,95.0,0.1,0.2,0.31,0.1,0.31,0.16,0.23,0.39,0.16,0.39,Matches
Morato,br BRA,DF,24-198,10,8,710.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,12,8,568.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.4,1.1,4.0,34.0,15.0,0.16,0.0,0.16,0.16,0.16,0.11,0.07,0.17,0.11,0.17,Matches
Chris Wood,nz NZL,FW,34-038,8,7,540.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.7,2.7,0.2,2.9,0.0,7.0,16.0,0.33,0.0,0.33,0.33,0.33,0.45,0.03,0.48,0.45,0.48,Matches
John,br BRA,GK,29-335,5,5,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ola Aina,ng NGA,DF,29-098,5,5,428.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,6.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Douglas Luiz,br BRA,MF,27-250,8,5,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.23,0.04,0.23,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,5,4,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,12.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.15,0.02,0.15,Matches
Dilane Bakwa,fr FRA,FW,23-141,8,3,303.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.3,12.0,12.0,38.0,0.0,0.3,0.3,0.0,0.3,0.12,0.27,0.39,0.12,0.39,Matches
Ryan Yates,eng ENG,MF,28-054,11,1,307.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,1.0,16.0,3.0,0.0,0.29,0.29,0.0,0.29,0.01,0.04,0.05,0.01,0.05,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,7,1,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.42,0.22,0.42,Matches
James Mcatee,eng ENG,"MF,FW",23-088,7,1,175.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,5.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.19,0.01,0.19,Matches
Jair Cunha,br BRA,DF,20-313,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,9,0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,5.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.41,0.01,0.42,0.41,0.42,Matches
Zach Abbott,eng ENG,DF,19-246,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jota Silva,pt POR,FW,26-166,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Willy Boly,ci CIV,DF,34-345,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Angus Gunn,sct SCO,GK,29-357,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.2,21,231,1890.0,21.0,21.0,13.0,34.0,19.0,2.0,2.0,34.0,0.0,24.6,23.0,18.0,41.0,358.0,886.0,874.0,1.0,0.62,1.62,0.9,1.52,1.17,0.86,2.03,1.1,1.95,
Opponent Total,,,26.6,21,231,1890.0,21.0,32.0,22.0,54.0,28.0,4.0,4.0,41.0,1.0,29.6,26.5,21.7,48.2,339.0,813.0,805.0,1.52,1.05,2.57,1.33,2.38,1.41,1.03,2.44,1.26,2.29,
