Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Virgil van Dijk,nl NED,DF,34-190,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.2,1.1,20.0,163.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Ibrahima Konaté,fr FRA,DF,26-234,21,21,1786.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.5,1.4,19.0,84.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches
Dominik Szoboszlai,hu HUN,"MF,DF",25-081,20,20,1792.0,19.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.4,2.4,2.6,5.1,48.0,143.0,79.0,0.1,0.05,0.15,0.1,0.15,0.12,0.13,0.25,0.12,0.25,Matches
Ryan Gravenberch,nl NED,MF,23-243,19,19,1681.0,18.7,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,1.5,2.5,42.0,101.0,32.0,0.21,0.11,0.32,0.21,0.32,0.05,0.08,0.14,0.05,0.14,Matches
Milos Kerkez,hu HUN,DF,22-068,20,17,1416.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,29.0,78.0,105.0,0.06,0.0,0.06,0.06,0.06,0.07,0.06,0.13,0.07,0.13,Matches
Alexis Mac Allister,ar ARG,MF,27-021,20,17,1389.0,15.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.7,1.7,1.5,3.3,26.0,68.0,43.0,0.0,0.13,0.13,0.0,0.13,0.11,0.1,0.21,0.11,0.21,Matches
Alisson,br BRA,GK,33-104,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Florian Wirtz,de GER,"MF,FW",22-256,20,16,1405.0,15.6,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,4.1,4.1,2.3,6.4,32.0,101.0,156.0,0.13,0.06,0.19,0.13,0.19,0.26,0.15,0.41,0.26,0.41,Matches
Cody Gakpo,nl NED,FW,26-252,19,15,1345.0,14.9,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,4.8,4.8,3.7,8.6,61.0,48.0,156.0,0.33,0.2,0.54,0.33,0.54,0.32,0.25,0.57,0.32,0.57,Matches
Hugo Ekitike,fr FRA,FW,23-208,18,13,1132.0,12.6,8.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,5.8,5.8,1.5,7.3,29.0,12.0,78.0,0.64,0.16,0.8,0.64,0.8,0.46,0.12,0.58,0.46,0.58,Matches
Mohamed Salah,eg EGY,"FW,MF",33-213,14,12,1183.0,13.1,4.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0,4.5,3.8,3.0,6.7,51.0,63.0,169.0,0.3,0.23,0.53,0.23,0.46,0.35,0.22,0.57,0.29,0.51,Matches
Conor Bradley,nir NIR,DF,22-189,15,12,929.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.1,1.3,25.0,44.0,47.0,0.0,0.1,0.1,0.0,0.1,0.02,0.1,0.13,0.02,0.13,Matches
Curtis Jones,eng ENG,MF,24-349,18,9,972.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.0,1.8,33.0,105.0,37.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.17,0.08,0.17,Matches
Alexander Isak,se SWE,FW,26-115,10,6,504.0,5.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6,2.6,6.0,8.0,24.0,0.36,0.18,0.54,0.36,0.54,0.37,0.11,0.47,0.37,0.47,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
