Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
David Raya,es ESP,GK,30-121,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martín Zubimendi,es ESP,MF,26-346,21,20,1769.0,19.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.9,1.9,1.1,2.9,29.0,118.0,25.0,0.15,0.05,0.2,0.15,0.2,0.1,0.05,0.15,0.1,0.15,Matches
Declan Rice,eng ENG,MF,27-000,20,19,1696.0,18.8,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,2.5,2.5,3.5,6.0,54.0,134.0,50.0,0.21,0.16,0.37,0.21,0.37,0.13,0.18,0.32,0.13,0.32,Matches
Jurriën Timber,nl NED,DF,24-211,20,18,1641.0,18.2,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,1.1,5.0,34.0,105.0,94.0,0.11,0.16,0.27,0.11,0.27,0.22,0.06,0.28,0.22,0.28,Matches
Bukayo Saka,eng ENG,FW,24-131,19,16,1422.0,15.8,4.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0,5.3,4.6,4.9,9.4,77.0,39.0,205.0,0.25,0.19,0.44,0.19,0.38,0.34,0.31,0.65,0.29,0.6,Matches
William Saliba,fr FRA,DF,24-296,17,16,1354.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6.0,62.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Viktor Gyökeres,se SWE,FW,27-224,19,16,1290.0,14.3,5.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,6.4,4.8,1.2,6.0,12.0,17.0,78.0,0.35,0.0,0.35,0.21,0.21,0.45,0.08,0.53,0.34,0.42,Matches
Riccardo Calafiori,it ITA,DF,23-240,16,16,1255.0,13.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,2.5,2.5,0.5,3.0,23.0,48.0,56.0,0.07,0.14,0.22,0.07,0.22,0.18,0.04,0.21,0.18,0.21,Matches
Gabriel Magalhães,br BRA,DF,28-026,15,14,1266.0,14.1,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,1.4,3.0,10.0,58.0,3.0,0.21,0.14,0.36,0.21,0.36,0.11,0.1,0.21,0.11,0.21,Matches
Leandro Trossard,be BEL,FW,31-041,17,12,1131.0,12.6,5.0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,4.0,4.0,2.2,6.2,39.0,50.0,127.0,0.4,0.32,0.72,0.4,0.72,0.32,0.18,0.49,0.32,0.49,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,15,11,923.0,10.3,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,2.3,2.3,1.2,3.5,24.0,42.0,44.0,0.39,0.2,0.59,0.39,0.59,0.22,0.12,0.34,0.22,0.34,Matches
Martin Ødegaard,no NOR,MF,27-028,15,11,874.0,9.7,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,2.4,3.3,27.0,102.0,27.0,0.1,0.31,0.41,0.1,0.41,0.09,0.25,0.33,0.09,0.33,Matches
Mikel Merino,es ESP,"MF,FW",29-206,19,10,940.0,10.4,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.1,2.1,1.4,3.5,14.0,38.0,33.0,0.29,0.29,0.57,0.29,0.57,0.2,0.14,0.34,0.2,0.34,Matches
