Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21,21,1890.0,21.0,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,4.7,4.7,2.0,6.7,68.0,43.0,151.0,0.29,0.05,0.33,0.29,0.33,0.23,0.09,0.32,0.23,0.32,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,18,18,1511.0,16.8,4.0,1.0,5.0,2.0,2.0,2.0,7.0,1.0,2.8,1.3,2.3,3.6,10.0,95.0,59.0,0.24,0.06,0.3,0.12,0.18,0.17,0.14,0.31,0.07,0.21,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,19,18,1494.0,16.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.3,2.3,25.0,69.0,34.0,0.12,0.06,0.18,0.12,0.18,0.06,0.08,0.14,0.06,0.14,Matches
Max Kilman,eng ENG,DF,28-236,18,17,1534.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.3,0.9,5.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Alphonse Areola,fr FRA,GK,32-321,17,17,1530.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,16,15,1387.0,15.4,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.8,1.2,18.0,36.0,63.0,0.0,0.19,0.19,0.0,0.19,0.03,0.05,0.08,0.03,0.08,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,15,15,1250.0,13.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.3,0.4,9.0,35.0,3.0,0.0,0.07,0.07,0.0,0.07,0.0,0.03,0.03,0.0,0.03,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,16,14,1139.0,12.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.5,2.5,26.0,38.0,81.0,0.0,0.08,0.08,0.0,0.08,0.16,0.04,0.2,0.16,0.2,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,14,11,1093.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,7.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,12,11,1011.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.6,24.0,37.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Freddie Potts,eng ENG,MF,22-124,16,10,972.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.1,1.3,6.0,35.0,7.0,0.0,0.09,0.09,0.0,0.09,0.02,0.1,0.12,0.02,0.12,Matches
Kyle Walker-Peters,eng ENG,DF,28-276,16,10,957.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.2,1.4,24.0,41.0,47.0,0.09,0.0,0.09,0.09,0.09,0.11,0.02,0.13,0.11,0.13,Matches
