Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrien Truffert,fr FRA,DF,24-055,21,21,1849.0,20.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.2,1.6,41.0,85.0,111.0,0.0,0.05,0.05,0.0,0.05,0.02,0.06,0.08,0.02,0.08,Matches
Antoine Semenyo,gh GHA,"FW,MF",26-007,20,20,1798.0,20.0,10.0,3.0,13.0,9.0,1.0,2.0,6.0,0.0,6.7,5.1,2.1,7.2,73.0,68.0,126.0,0.5,0.15,0.65,0.45,0.6,0.34,0.11,0.44,0.26,0.36,Matches
Marcos Senesi,ar ARG,DF,28-249,20,20,1758.0,19.5,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,2.9,3.5,15.0,126.0,11.0,0.0,0.2,0.2,0.0,0.2,0.03,0.15,0.18,0.03,0.18,Matches
Marcus Tavernier,eng ENG,"MF,FW",26-298,21,19,1691.0,18.8,4.0,3.0,7.0,3.0,1.0,1.0,3.0,0.0,4.2,3.4,2.4,5.8,54.0,95.0,109.0,0.21,0.16,0.37,0.16,0.32,0.22,0.13,0.35,0.18,0.31,Matches
Alex Scott,eng ENG,MF,22-146,21,18,1410.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.3,2.5,31.0,50.0,28.0,0.06,0.0,0.06,0.06,0.06,0.08,0.08,0.16,0.08,0.16,Matches
Evanilson,br BRA,FW,26-100,19,16,1407.0,15.6,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,5.3,5.3,1.7,7.1,10.0,13.0,58.0,0.26,0.0,0.26,0.26,0.26,0.34,0.11,0.45,0.34,0.45,Matches
Bafodé Diakité,fr FRA,DF,25-008,16,15,1264.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,4.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Tyler Adams,us USA,MF,26-334,15,15,1195.0,13.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.5,12.0,61.0,7.0,0.15,0.08,0.23,0.15,0.23,0.03,0.01,0.04,0.03,0.04,Matches
Álex Jiménez,es ESP,"DF,FW",20-251,17,13,1155.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.3,0.8,46.0,50.0,41.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
David Brooks,wls WAL,"FW,MF",28-190,19,11,937.0,10.4,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,4.3,4.3,2.6,6.8,30.0,37.0,93.0,0.1,0.19,0.29,0.1,0.29,0.41,0.25,0.66,0.41,0.66,Matches
Justin Kluivert,nl NED,MF,26-254,18,10,919.0,10.2,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,1.5,3.8,21.0,36.0,74.0,0.2,0.0,0.2,0.2,0.2,0.22,0.15,0.37,0.22,0.37,Matches
Adam Smith,eng ENG,DF,34-260,10,8,523.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,2.0,15.0,9.0,0.0,0.17,0.17,0.0,0.17,0.0,0.07,0.07,0.0,0.07,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-205,16,7,576.0,6.4,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,3.5,3.5,0.4,3.9,7.0,6.0,37.0,1.09,0.0,1.09,1.09,1.09,0.55,0.07,0.62,0.55,0.62,Matches
