Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Jan Paul van Hecke,nl NED,DF,25-220,20,20,1800.0,20.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.7,1.7,0.2,1.9,50.0,131.0,5.0,0.15,0.05,0.2,0.15,0.2,0.08,0.01,0.1,0.08,0.1,Matches
Lewis Dunk,eng ENG,DF,34-054,20,19,1755.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,0.1,0.8,14.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Yankuba Minteh,gm GAM,FW,21-176,19,18,1541.0,17.1,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,2.7,2.7,4.5,7.2,82.0,25.0,174.0,0.06,0.23,0.29,0.06,0.29,0.16,0.26,0.42,0.16,0.42,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-099,20,17,1605.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,1.2,2.1,59.0,79.0,87.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches
Yasin Ayari,se SWE,MF,22-100,19,16,1521.0,16.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.4,2.4,0.9,3.3,13.0,52.0,24.0,0.12,0.06,0.18,0.12,0.18,0.14,0.05,0.2,0.14,0.2,Matches
Georginio Rutter,fr FRA,"MF,FW",23-269,19,16,1337.0,14.9,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.9,1.9,2.7,4.6,26.0,67.0,68.0,0.13,0.13,0.27,0.13,0.27,0.13,0.18,0.31,0.13,0.31,Matches
Diego Gómez,py PAR,"MF,FW",22-293,19,15,1271.0,14.1,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,4.5,4.5,1.5,6.0,16.0,29.0,38.0,0.21,0.0,0.21,0.21,0.21,0.32,0.11,0.43,0.32,0.43,Matches
Carlos Baleba,cm CMR,MF,22-011,16,14,896.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.3,10.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Mats Wieffer,nl NED,DF,26-059,16,13,1181.0,13.1,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,3.1,4.3,25.0,72.0,45.0,0.0,0.23,0.23,0.0,0.23,0.09,0.23,0.33,0.09,0.33,Matches
