Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michael Kayode,it ITA,DF,21-188,21,21,1828.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,2.1,2.3,39.0,41.0,82.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.11,0.01,0.11,Matches
Nathan Collins,ie IRL,DF,24-259,21,20,1817.0,20.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,1.7,3.2,12.0,55.0,5.0,0.05,0.1,0.15,0.05,0.15,0.07,0.08,0.16,0.07,0.16,Matches
Thiago,br BRA,FW,24-202,21,20,1752.0,19.5,16.0,1.0,17.0,11.0,5.0,6.0,4.0,0.0,12.5,7.8,3.0,10.8,16.0,20.0,81.0,0.82,0.05,0.87,0.57,0.62,0.64,0.15,0.8,0.4,0.55,Matches
Kevin Schade,de GER,FW,24-048,20,19,1645.0,18.3,6.0,3.0,9.0,6.0,0.0,1.0,5.0,0.0,7.5,6.7,2.6,9.3,35.0,31.0,77.0,0.33,0.16,0.49,0.33,0.49,0.41,0.14,0.55,0.37,0.51,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,21,19,1567.0,17.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.3,2.2,18.0,68.0,24.0,0.06,0.11,0.17,0.06,0.17,0.05,0.07,0.12,0.05,0.12,Matches
Sepp van den Berg,nl NED,DF,24-025,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,1.6,0.5,2.1,13.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches
Jordan Henderson,eng ENG,MF,35-211,20,15,1354.0,15.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,1.9,2.2,6.0,82.0,20.0,0.07,0.2,0.27,0.07,0.27,0.02,0.13,0.15,0.02,0.15,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,18,13,1166.0,13.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,3.6,4.7,23.0,65.0,58.0,0.08,0.23,0.31,0.08,0.31,0.09,0.28,0.36,0.09,0.36,Matches
Dango Ouattara,bf BFA,FW,23-337,15,12,1062.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.5,3.5,1.1,4.6,28.0,18.0,80.0,0.25,0.0,0.25,0.25,0.25,0.29,0.09,0.39,0.29,0.39,Matches
Kristoffer Ajer,no NOR,DF,27-272,15,11,973.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.7,1.4,8.0,27.0,10.0,0.0,0.09,0.09,0.0,0.09,0.07,0.07,0.13,0.07,0.13,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,19,10,912.0,10.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.2,2.4,20.0,28.0,56.0,0.2,0.1,0.3,0.2,0.3,0.12,0.12,0.24,0.12,0.24,Matches
