Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Granit Xhaka,ch SUI,MF,33-109,21,21,1872.0,20.8,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,2.0,2.6,20.0,127.0,19.0,0.05,0.24,0.29,0.05,0.29,0.03,0.1,0.13,0.03,0.13,Matches
Trai Hume,nir NIR,"DF,MF",23-302,21,19,1743.0,19.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,1.0,1.7,18.0,54.0,49.0,0.0,0.05,0.05,0.0,0.05,0.04,0.05,0.09,0.04,0.09,Matches
Nordi Mukiele,fr FRA,DF,28-074,19,19,1710.0,19.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.1,1.8,12.0,56.0,50.0,0.05,0.05,0.11,0.05,0.11,0.04,0.06,0.09,0.04,0.09,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,20,18,1575.0,17.5,2.0,4.0,6.0,0.0,2.0,3.0,5.0,0.0,3.2,0.8,2.6,3.5,32.0,52.0,83.0,0.11,0.23,0.34,0.0,0.23,0.18,0.15,0.33,0.05,0.2,Matches
Omar Alderete,py PAR,DF,29-019,17,16,1470.0,16.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.1,1.3,15.0,60.0,4.0,0.06,0.06,0.12,0.06,0.12,0.07,0.01,0.08,0.07,0.08,Matches
Noah Sadiki,cd COD,MF,21-028,16,16,1412.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.4,0.6,30.0,47.0,39.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Daniel Ballard,nir NIR,DF,26-114,17,13,1225.0,13.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.4,1.4,0.7,2.1,6.0,34.0,4.0,0.15,0.0,0.15,0.15,0.15,0.1,0.05,0.16,0.1,0.16,Matches
Reinildo Mandava,mz MOZ,DF,31-358,12,12,1022.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.0,0.1,18.0,41.0,25.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Wilson Isidor,fr FRA,FW,25-140,19,11,977.0,10.9,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.4,3.4,0.0,3.4,9.0,9.0,44.0,0.37,0.0,0.37,0.37,0.37,0.31,0.0,0.31,0.31,0.31,Matches
