Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kyle Walker,eng ENG,"DF,MF",35-231,20,20,1786.0,19.8,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.1,0.1,0.5,0.6,24.0,50.0,30.0,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.03,0.01,0.03,Matches
Maxime Estève,fr FRA,DF,23-233,18,18,1535.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,5.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Josh Cullen,ie IRL,MF,29-282,18,18,1514.0,16.8,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.9,0.9,2.1,3.0,7.0,68.0,11.0,0.12,0.12,0.24,0.12,0.24,0.05,0.12,0.18,0.05,0.18,Matches
Quilindschy Hartman,nl NED,DF,24-061,15,15,1337.0,14.9,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.5,1.7,6.0,44.0,43.0,0.0,0.27,0.27,0.0,0.27,0.01,0.1,0.11,0.01,0.11,Matches
Florentino Luís,pt POR,MF,26-148,17,15,1314.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.8,6.0,63.0,9.0,0.0,0.07,0.07,0.0,0.07,0.03,0.02,0.06,0.03,0.06,Matches
Lesley Ugochukwu,fr FRA,MF,21-294,20,15,1286.0,14.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,2.1,2.1,0.3,2.4,17.0,39.0,30.0,0.21,0.0,0.21,0.21,0.21,0.15,0.02,0.17,0.15,0.17,Matches
Jaidon Anthony,eng ENG,"MF,FW",26-044,20,15,1256.0,14.0,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,2.5,2.5,0.6,3.1,27.0,19.0,72.0,0.36,0.07,0.43,0.36,0.43,0.18,0.05,0.22,0.18,0.22,Matches
Hjalmar Ekdal,se SWE,DF,27-085,14,13,1162.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,2.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Josh Laurent,eng ENG,"DF,MF",30-253,18,11,1060.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.9,11.0,23.0,20.0,0.08,0.0,0.08,0.08,0.08,0.04,0.04,0.07,0.04,0.07,Matches
