Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Dean Henderson,eng ENG,GK,28-308,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maxence Lacroix,fr FRA,DF,25-283,21,21,1890.0,21.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.1,2.2,5.0,42.0,8.0,0.0,0.1,0.1,0.0,0.1,0.05,0.05,0.1,0.05,0.1,Matches
Tyrick Mitchell,eng ENG,DF,26-135,21,21,1883.0,20.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,1.4,2.1,39.0,33.0,128.0,0.05,0.0,0.05,0.05,0.05,0.03,0.07,0.1,0.03,0.1,Matches
Jean-Philippe Mateta,fr FRA,FW,28-200,21,21,1730.0,19.2,8.0,0.0,8.0,5.0,3.0,3.0,2.0,0.0,11.3,8.9,0.6,9.5,16.0,24.0,83.0,0.42,0.0,0.42,0.26,0.26,0.59,0.03,0.62,0.46,0.5,Matches
Marc Guéhi,eng ENG,DF,25-185,20,20,1800.0,20.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,1.5,3.6,24.0,113.0,10.0,0.1,0.1,0.2,0.1,0.2,0.1,0.08,0.18,0.1,0.18,Matches
Adam Wharton,eng ENG,MF,21-342,19,19,1562.0,17.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.9,4.9,22.0,103.0,16.0,0.0,0.12,0.12,0.0,0.12,0.06,0.23,0.28,0.06,0.28,Matches
Chris Richards,us USA,DF,25-292,17,17,1522.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,7.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Yeremi Pino,es ESP,MF,23-086,19,17,1348.0,15.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,3.4,3.4,3.6,7.0,28.0,68.0,93.0,0.07,0.07,0.13,0.07,0.13,0.23,0.24,0.47,0.23,0.47,Matches
Daniel Muñoz,co COL,"DF,MF",29-233,14,14,1259.0,14.0,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,1.8,1.8,2.5,4.3,21.0,29.0,75.0,0.21,0.14,0.36,0.21,0.36,0.13,0.18,0.31,0.13,0.31,Matches
Daichi Kamada,jp JPN,MF,29-162,14,14,1164.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.2,2.1,20.0,59.0,39.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,0.16,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-323,12,12,1008.0,11.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,4.1,4.1,1.0,5.1,31.0,31.0,57.0,0.27,0.09,0.36,0.27,0.36,0.36,0.09,0.45,0.36,0.45,Matches
