Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Tarkowski,eng ENG,DF,33-056,21,21,1890.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.3,1.3,1.2,2.5,8.0,61.0,8.0,0.0,0.05,0.05,0.0,0.05,0.06,0.06,0.12,0.06,0.12,Matches
James Garner,eng ENG,"MF,DF",24-307,21,21,1883.0,20.9,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.5,1.5,2.9,4.4,21.0,111.0,33.0,0.1,0.14,0.24,0.1,0.24,0.07,0.14,0.21,0.07,0.21,Matches
Jake O'Brien,ie IRL,DF,24-244,21,19,1760.0,19.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.9,12.0,47.0,38.0,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.05,0.03,0.05,Matches
Michael Keane,eng ENG,DF,33-003,19,19,1676.0,18.6,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.6,1.6,0.1,1.7,4.0,45.0,5.0,0.16,0.0,0.16,0.16,0.16,0.09,0.01,0.09,0.09,0.09,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,18,18,1615.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.6,0.8,25.0,84.0,61.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches
Jack Grealish,eng ENG,FW,30-126,19,17,1537.0,17.1,2.0,6.0,8.0,2.0,0.0,0.0,5.0,1.0,2.1,2.1,4.1,6.2,97.0,68.0,133.0,0.12,0.35,0.47,0.12,0.47,0.12,0.24,0.36,0.12,0.36,Matches
Iliman Ndiaye,sn SEN,FW,25-314,16,16,1341.0,14.9,4.0,2.0,6.0,3.0,1.0,1.0,2.0,0.0,3.2,2.4,2.6,5.0,53.0,26.0,97.0,0.27,0.13,0.4,0.2,0.34,0.21,0.18,0.39,0.16,0.34,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,15,15,1257.0,14.0,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,1.6,1.6,2.9,4.5,23.0,73.0,58.0,0.29,0.14,0.43,0.29,0.43,0.11,0.21,0.32,0.11,0.32,Matches
Thierno Barry,fr FRA,FW,23-085,21,13,1105.0,12.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,3.5,3.5,0.4,3.9,9.0,8.0,60.0,0.24,0.0,0.24,0.24,0.24,0.28,0.03,0.32,0.28,0.32,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,13,13,1051.0,11.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.1,1.1,0.3,1.4,5.0,55.0,17.0,0.17,0.0,0.17,0.17,0.17,0.09,0.03,0.12,0.09,0.12,Matches
Tim Iroegbunam,eng ENG,MF,22-198,17,11,929.0,10.3,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.6,1.0,12.0,28.0,20.0,0.0,0.19,0.19,0.0,0.19,0.04,0.06,0.1,0.04,0.1,Matches
