Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Caicedo,ECU,"MF,DF",23-193,35.2,107,67,40,52,15,51,82,62.2,31,46,10,36,49,156,56,1
Palmer,ENG,MF,23-008,33.5,28,17,11,10,7,9,23,39.1,14,15,1,14,11,39,18,1
Colwill,ENG,DF,22-077,33.0,45,32,24,18,3,17,26,65.4,9,36,25,11,32,77,108,4
Cucurella,ESP,DF,26-296,31.2,61,39,30,26,5,27,54,50.0,27,46,15,31,25,86,86,3
Fernández,ARG,MF,24-117,30.7,64,32,17,29,18,31,84,36.9,53,38,7,31,13,77,22,4
Sánchez,ESP,GK,27-177,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,22,9
Jackson,SEN,FW,23-328,24.7,22,13,6,7,9,5,10,50.0,5,15,2,13,3,25,15,0
Madueke,ENG,FW,23-065,20.6,22,15,7,12,3,13,36,36.1,23,17,0,17,8,30,11,0
Neto,POR,FW,25-066,23.4,22,9,9,9,4,8,19,42.1,11,14,2,12,9,31,6,0
Gusto,FRA,DF,21-360,20.5,44,28,27,15,2,25,48,52.1,23,29,8,21,24,68,48,5
Sancho,ENG,FW,25-050,18.9,11,7,3,2,6,5,12,41.7,7,10,0,10,2,13,6,2
Fofana,FRA,DF,24-148,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2
Adarabioyo,ENG,DF,27-232,13.7,14,10,10,4,0,8,12,66.7,4,9,7,2,10,24,62,0
Chalobah,ENG,DF,25-313,10.1,11,7,5,6,0,7,8,87.5,1,6,3,3,10,21,48,1
Lavia,BEL,MF,21-128,8.4,22,13,5,13,4,10,21,47.6,11,6,0,6,16,38,10,1
James,ENG,"DF,MF",25-157,9.8,9,9,5,3,1,3,9,33.3,6,12,4,8,13,22,18,4
Nkunku,FRA,FW,27-181,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0
Jørgensen,DEN,GK,23-028,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3
Disasi,FRA,DF,27-064,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1
Félix,POR,"FW,MF",25-185,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
Badiashile,FRA,DF,24-049,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2
Dewsbury-Hall,ENG,"MF,FW",26-250,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,1,9,8,1
Acheampong,ENG,DF,19-009,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0
Veiga,POR,"DF,MF",21-289,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0
Mudryk,UKR,FW,24-129,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0
George,ENG,FW,19-099,1.1,2,0,2,0,0,2,3,66.7,1,0,0,0,1,3,1,0
Guiu,ESP,FW,19-130,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Amougou,FRA,MF,19-116,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mheuka,ENG,MF,17-206,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
