Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 17_level_0 Int,Unnamed: 18_level_0 Tkl+Int,Unnamed: 19_level_0 Clr,Unnamed: 20_level_0 Err,Unnamed: 21_level_0 Matches
Pedro Porro,es ESP,DF,25-242,28.0,63,46,31,22,10,42,73,57.5,31,44,17,27,34,97,82,1,Matches
Dejan Kulusevski,se SWE,"MF,FW",25-018,26.5,45,23,17,13,15,19,51,37.3,32,34,5,29,13,58,10,1,Matches
Dominic Solanke,eng ENG,FW,27-241,23.5,18,11,1,12,5,4,14,28.6,10,18,7,11,0,18,22,0,Matches
Brennan Johnson,wls WAL,FW,23-355,23.1,39,26,9,20,10,16,31,51.6,15,25,3,22,4,43,11,0,Matches
Guglielmo Vicario,it ITA,GK,28-218,23.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,6,Matches
Son Heung-min,kr KOR,FW,32-309,22.6,17,9,3,8,6,5,23,21.7,18,10,0,10,5,22,16,1,Matches
Destiny Udogie,it ITA,DF,22-166,20.4,74,47,41,26,7,33,47,70.2,14,40,6,34,21,95,35,1,Matches
James Maddison,eng ENG,MF,28-171,20.1,31,19,8,16,7,9,29,31.0,20,15,4,11,12,43,19,1,Matches
Pape Matar Sarr,sn SEN,MF,22-241,20.2,47,35,18,23,6,12,24,50.0,12,24,10,14,27,74,22,1,Matches
Rodrigo Bentancur,uy URU,MF,27-322,17.4,38,20,17,17,4,19,39,48.7,20,25,8,17,36,74,35,1,Matches
Djed Spence,eng ENG,DF,24-277,18.8,45,33,24,14,7,23,30,76.7,7,27,9,18,20,65,68,1,Matches
Cristian Romero,ar ARG,DF,27-016,15.7,35,29,26,8,1,21,30,70.0,9,18,3,15,21,56,57,2,Matches
Archie Gray,eng ENG,"DF,MF",19-062,17.5,15,8,4,7,4,7,17,41.2,10,20,10,10,15,30,42,2,Matches
Yves Bissouma,ml MLI,MF,28-256,14.9,48,30,19,25,4,19,34,55.9,15,9,6,3,17,65,37,4,Matches
Radu Drăgușin,ro ROU,DF,23-099,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4,Matches
Ben Davies,wls WAL,DF,32-019,13.5,16,11,7,8,1,9,16,56.3,7,26,18,8,12,28,72,1,Matches
Lucas Bergvall,se SWE,MF,19-100,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3,Matches
Micky van de Ven,nl NED,DF,24-024,10.6,10,6,5,4,1,8,14,57.1,6,9,6,3,10,20,36,1,Matches
Mathys Tel,fr FRA,FW,20-016,8.2,12,5,2,5,5,2,9,22.2,7,8,1,7,1,13,4,2,Matches
Wilson Odobert,fr FRA,FW,20-166,8.0,12,4,4,3,5,7,12,58.3,5,5,0,5,3,15,3,1,Matches
Kevin Danso,at AUT,DF,26-236,7.4,7,5,4,3,0,6,10,60.0,4,9,9,0,3,10,49,1,Matches
Fraser Forster,eng ENG,GK,37-057,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3,Matches
Antonín Kinský,cz CZE,GK,22-061,5.0,3,1,3,0,0,1,1,100.0,0,0,0,0,0,3,7,1,Matches
Timo Werner,de GER,"FW,MF",29-068,5.7,6,4,3,3,0,3,13,23.1,10,10,1,9,1,7,7,0,Matches
Richarlison,br BRA,FW,28-003,5.3,4,3,0,3,1,0,2,0.0,2,1,1,0,0,4,8,0,Matches
Mikey Moore,eng ENG,FW,17-275,3.1,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,3,0,Matches
Brandon Austin,eng ENG,GK,26-125,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Sergio Reguilón,es ESP,DF,28-148,1.4,4,3,1,3,0,2,3,66.7,1,4,0,4,2,6,3,0,Matches
Dane Scarlett,eng ENG,"FW,MF",21-050,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
Alfie Dorrington,eng ENG,DF,20-023,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Will Lankshear,eng ENG,"FW,MF",20-023,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.8,36.0,639,403,269,266,104,290,569,51.0,279,423,148,275,298,937,742,39,
Opponent Total,,,27.1,36.0,816,518,394,314,108,406,705,57.6,299,487,135,352,380,1196,885,36,
