Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Collins,IRL,DF,24-014,36.0,37,22,22,11,4,22,35,62.9,13,72,52,20,33,70,219,2,Matches
Mbeumo,CMR,FW,25-280,35.9,45,29,17,14,14,18,31,58.1,13,24,3,21,14,59,52,1,Matches
Flekken,NED,GK,31-335,34.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,4,Matches
Lewis-Potter,ENG,"DF,FW",24-081,32.5,46,26,25,15,6,28,46,60.9,18,26,9,17,19,65,72,3,Matches
Damsgaard,DEN,"MF,FW",24-315,30.5,80,43,27,27,26,30,77,39.0,47,39,2,37,26,106,30,2,Matches
Wissa,COD,FW,28-253,30.4,22,12,6,8,8,11,27,40.7,16,29,8,21,8,30,20,3,Matches
Nørgaard,DEN,MF,31-065,29.3,76,46,35,34,7,45,74,60.8,29,51,19,32,46,122,65,1,Matches
Sepp van den Berg,NED,DF,23-145,26.7,37,22,23,10,4,18,27,66.7,9,51,37,14,20,57,124,3,Matches
Janelt,GER,MF,27-004,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1,Matches
Schade,GER,FW,23-168,23.8,36,23,14,10,12,12,20,60.0,8,17,2,15,5,41,32,0,Matches
Pinnock,JAM,DF,31-350,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4,Matches
Ajer,NOR,DF,27-027,15.6,25,17,14,10,1,14,26,53.8,12,17,4,13,12,37,49,0,Matches
Yarmoliuk,UKR,MF,21-074,14.3,42,25,16,20,6,25,49,51.0,24,24,7,17,12,54,31,0,Matches
Roerslev,DEN,DF,25-324,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0,Matches
Jensen,DEN,MF,29-133,9.3,14,10,6,6,2,8,16,50.0,8,13,4,9,8,22,13,1,Matches
Kayode,ITA,DF,20-308,4.2,15,10,11,4,0,9,11,81.8,2,2,0,2,5,20,15,0,Matches
Carvalho,POR,"FW,MF",22-257,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0,Matches
Mee,ENG,DF,35-235,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0,Matches
Thiago,BRA,FW,23-322,1.6,4,3,1,1,2,0,1,0.0,1,2,0,2,2,6,2,1,Matches
Hákon Rafn Valdimarsson,ISL,GK,23-213,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Maghoma,ENG,"MF,FW",24-006,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0,Matches
Henry,ENG,DF,27-310,0.9,0,0,0,0,0,0,4,0.0,4,3,1,2,1,1,2,0,Matches
Yunus Emre Konak,TUR,"FW,MF",19-124,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0,Matches
Jisoo,KOR,DF,20-141,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Onyeka,NGA,MF,27-133,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Nunes,BRA,"FW,MF",19-175,0.1,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,2,0,Matches
Meghoma,ENG,DF,18-320,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Trevitt,ENG,MF,22-063,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Total,,,26.6,36.0,599,360,271,214,114,299,562,53.2,263,459,186,273,274,873,999,26,
Total,,,27.1,36.0,549,333,252,202,95,270,524,51.5,254,347,103,244,276,825,975,28,
