Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 17_level_0 Int,Unnamed: 18_level_0 Tkl+Int,Unnamed: 19_level_0 Clr,Unnamed: 20_level_0 Err,Unnamed: 21_level_0 Matches
Kyle Walker-Peters,eng ENG,DF,28-030,32.4,44,29,22,15,7,16,35,45.7,19,27,15,12,19,63,90,1,Matches
Mateus Fernandes,pt POR,MF,20-307,30.3,86,46,43,28,15,33,66,50.0,33,41,7,34,26,112,34,7,Matches
Taylor Harwood-Bellis,eng ENG,DF,23-103,30.5,27,19,13,11,3,19,35,54.3,16,62,40,22,30,57,137,6,Matches
Jan Bednarek,pl POL,DF,29-031,28.1,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5,Matches
Aaron Ramsdale,eng ENG,GK,26-364,28.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,9,2,Matches
Flynn Downes,eng ENG,MF,26-113,21.9,46,24,21,20,5,15,35,42.9,20,24,6,18,31,77,46,4,Matches
Joe Aribo,ng NGA,"MF,DF",28-296,21.7,47,33,17,24,6,17,35,48.6,18,26,10,16,20,67,32,3,Matches
Tyler Dibling,eng ENG,"FW,MF",19-062,20.1,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,16,1,Matches
Ryan Manning,ie IRL,"DF,MF",28-333,16.2,28,17,16,10,2,14,26,53.8,12,20,11,9,17,45,47,0,Matches
Lesley Ugochukwu,fr FRA,MF,21-048,17.4,49,24,15,30,4,18,35,51.4,17,27,10,17,14,63,21,1,Matches
Jack Stephens,eng ENG,DF,31-106,14.4,32,19,23,9,0,15,27,55.6,12,20,13,7,11,43,49,2,Matches
Yukinari Sugawara,jp JPN,"DF,MF",24-319,16.3,29,16,14,14,1,18,30,60.0,12,17,7,10,10,39,46,3,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",23-087,14.1,17,15,6,4,7,8,13,61.5,5,12,3,9,6,23,9,0,Matches
Adam Armstrong,eng ENG,"FW,MF",28-092,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,Matches
Cameron Archer,eng ENG,FW,23-296,15.5,11,7,6,3,2,2,9,22.2,7,5,1,4,2,13,10,0,Matches
James Bree,eng ENG,DF,27-214,10.9,18,13,8,9,1,10,25,40.0,15,9,3,6,8,26,28,0,Matches
Paul Onuachu,ng NGA,FW,30-350,11.4,7,2,1,5,1,3,7,42.9,4,7,2,5,1,8,16,1,Matches
Nathan Wood-Gordon,eng ENG,DF,22-347,6.9,10,7,6,3,1,5,8,62.5,3,8,5,3,4,14,26,2,Matches
William Smallbone,ie IRL,MF,25-081,7.2,18,11,8,8,2,7,21,33.3,14,8,0,8,2,20,12,2,Matches
Alex McCarthy,eng ENG,GK,35-161,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,4,Matches
Adam Lallana,eng ENG,MF,37-003,4.0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0,Matches
Ben Brereton,cl CHI,FW,26-025,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0,Matches
Ryan Fraser,sct SCO,"FW,DF",31-078,3.4,6,2,2,4,0,4,6,66.7,2,1,1,0,1,7,9,0,Matches
Welington,br BRA,"DF,MF",24-083,3.4,16,5,12,3,1,10,15,66.7,5,3,1,2,6,22,21,0,Matches
Ross Stewart,sct SCO,FW,28-306,3.2,3,2,1,0,2,2,6,33.3,4,3,0,3,0,3,6,0,Matches
Joe Lumley,eng ENG,GK,30-087,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3,Matches
Armel Bella Kotchap,de GER,DF,23-153,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1,Matches
Charlie Taylor,eng ENG,DF,31-237,3.0,7,5,4,3,0,5,6,83.3,1,5,3,2,3,10,22,1,Matches
Albert Grønbaek,dk DEN,"FW,MF",23-355,1.6,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0,Matches
Maxwel Cornet,ci CIV,FW,28-228,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0,Matches
Samuel Edozie,eng ENG,"DF,FW",22-105,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0,Matches
Jay Robinson,eng ENG,"MF,FW",18-059,0.4,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,Matches
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18-299,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Ronnie Edwards,eng ENG,DF,22-046,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
Carlos Alcaraz,ar ARG,MF,22-164,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Squad Total,,,26.1,36.0,616,358,289,256,71,268,557,48.1,289,407,186,221,291,907,921,49,
Opponent Total,,,27.0,36.0,645,384,243,279,123,313,599,52.3,286,343,120,223,298,943,709,9,
