Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Verbruggen,NED,GK,22-269,34.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,28,5
Jan Paul van Hecke,NED,DF,24-340,30.9,41,27,21,19,1,21,39,53.8,18,33,19,14,23,64,138,2
Baleba,CMR,MF,21-131,27.6,73,42,25,33,15,46,76,60.5,30,44,10,34,43,116,42,1
Mitoma,JPN,"FW,MF",27-359,28.1,44,26,15,13,16,19,48,39.6,29,48,3,45,13,57,10,0
Estupiñán,ECU,DF,27-113,25.7,60,40,31,22,7,32,47,68.1,15,17,3,14,36,96,63,2
Dunk,ENG,DF,33-174,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2
Welbeck,ENG,FW,34-169,22.6,24,15,6,13,5,7,19,36.8,12,18,3,15,5,29,14,0
Pedro,BRA,"FW,MF",23-230,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
Hinshelwood,ENG,"DF,MF",20-033,19.4,26,18,8,10,8,11,27,40.7,16,8,3,5,15,41,37,1
Ayari,SWE,MF,21-220,20.5,56,31,15,30,11,23,53,43.4,30,23,6,17,20,76,25,0
Veltman,NED,DF,33-119,18.5,42,28,23,16,3,30,51,58.8,21,22,7,15,18,60,66,0
Rutter,FRA,"MF,FW",23-024,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2
Minteh,GAM,"FW,MF",20-296,18.5,47,34,25,13,9,17,45,37.8,28,21,0,21,11,58,31,0
O'Riley,DEN,MF,24-174,10.1,16,9,4,8,4,4,13,30.8,9,7,3,4,13,29,9,1
Adingra,CIV,"FW,MF",23-133,11.0,23,14,10,8,5,10,24,41.7,14,12,0,12,8,31,6,2
Lamptey,GHA,DF,24-226,9.6,17,11,8,9,0,9,25,36.0,16,15,7,8,7,24,23,1
Igor,BRA,DF,27-096,10.0,4,4,2,1,1,4,10,40.0,6,23,14,9,4,8,39,1
Webster,ENG,DF,30-130,7.9,9,6,5,3,1,5,12,41.7,7,12,9,3,18,27,33,1
Wieffer,NED,"MF,DF",25-179,9.3,46,27,20,22,4,26,38,68.4,12,15,1,14,14,60,24,3
Gruda,GER,"MF,FW",20-348,6.0,14,6,6,5,3,7,14,50.0,7,8,0,8,2,16,5,1
Kadioglu,TUR,"DF,MF",25-219,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
Gómez,PAR,MF,22-048,5.0,17,10,8,7,2,9,19,47.4,10,12,0,12,7,24,10,1
Milner,ENG,MF,39-130,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
Enciso,PAR,"MF,FW",21-111,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
Ferguson,IRL,FW,20-207,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0
Steele,ENG,GK,34-269,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
March,ENG,"FW,MF",30-298,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
Gilmour,SCO,MF,23-337,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
Cashin,IRL,DF,23-186,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Moder,POL,MF,26-037,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
Sarmiento,ECU,MF,22-332,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
