Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Lucas Perri,br BRA,GK,28-035,16,16,1440,16.0,29,1.81,66,37,62.1,4,6,6,3,18.8,4,4,0,0,0.0,Matches
Karl Darlow,wls WAL,GK,35-098,5,5,450,5.0,8,1.6,20,13,60.0,1,1,3,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.0,21,21,1890,21.0,37,1.76,86,50,61.6,5,7,9,3,14.3,4,4,0,0,0.0,
Opponent Total,,,26.5,21,21,1890,21.0,29,1.38,81,51,67.9,9,7,5,6,28.6,4,3,1,0,25.0,
