Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Gianluigi Donnarumma,it ITA,GK,26-323,18,18,1620,18.0,15,0.83,51,35,70.6,12,4,2,8,44.4,1,0,1,0,100.0,Matches
James Trafford,eng ENG,GK,23-096,3,3,270,3.0,4,1.33,15,11,80.0,1,0,2,1,33.3,1,1,0,0,0.0,Matches
Squad Total,,,25.8,21,21,1890,21.0,19,0.9,66,46,72.7,13,4,4,9,42.9,2,1,1,0,50.0,
Opponent Total,,,26.6,21,21,1890,21.0,45,2.14,107,64,59.8,4,4,13,3,14.3,3,2,1,0,33.3,
