Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21,21,1890,21.0,28,1.33,85,59,71.8,7,8,6,5,23.8,5,4,1,0,20.0,Matches
Squad Total,,,25.9,21,21,1890,21.0,28,1.33,85,59,71.8,7,8,6,5,23.8,5,4,1,0,20.0,
Opponent Total,,,26.7,21,21,1890,21.0,31,1.48,91,60,69.2,6,8,7,4,19.0,5,3,1,1,25.0,
