Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Robert Sánchez,es ESP,GK,28-057,20,20,1714,19.0,21,1.1,68,47,69.1,8,6,6,8,40.0,0,0,0,0,,Matches
Filip Jørgensen,dk DEN,GK,23-273,2,1,174,1.9,3,1.55,6,3,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,24.7,21,21,1888,21.0,24,1.14,74,50,67.6,8,7,6,8,38.1,0,0,0,0,,
Opponent Total,,,27.0,21,21,1890,21.0,34,1.62,99,65,67.7,6,7,8,2,9.5,2,2,0,0,0.0,
