Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Bernd Leno,de GER,GK,33-316,21,21,1890,21.0,30,1.43,81,53,65.4,9,4,8,5,23.8,3,2,0,1,0.0,Matches
Squad Total,,,28.7,21,21,1890,21.0,30,1.43,81,53,65.4,9,4,8,5,23.8,3,2,0,1,0.0,
Opponent Total,,,26.5,21,21,1890,21.0,30,1.43,73,46,60.3,8,4,9,3,14.3,1,1,0,0,0.0,
