Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21,21,1890,21.0,27,1.29,82,55,68.3,7,6,8,7,33.3,1,1,0,0,0.0,Matches
Squad Total,,,25.9,21,21,1890,21.0,27,1.29,82,55,68.3,7,6,8,7,33.3,1,1,0,0,0.0,
Opponent Total,,,26.7,21,21,1890,21.0,30,1.43,69,40,56.5,8,6,7,4,19.0,0,0,0,0,,
