Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21,21,1890,21.0,40,1.9,96,57,61.5,6,8,7,5,23.8,3,3,0,0,0.0,Matches
Squad Total,,,25.7,21,21,1890,21.0,40,1.9,96,57,61.5,6,8,7,5,23.8,3,3,0,0,0.0,
Opponent Total,,,26.7,21,21,1890,21.0,34,1.62,103,68,68.9,7,8,6,4,19.0,3,2,1,0,33.3,
