Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Alisson,br BRA,GK,33-104,16,16,1440,16.0,18,1.13,50,32,66.0,9,5,2,6,37.5,1,1,0,0,0.0,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5,5,450,5.0,10,2.0,27,16,66.7,1,0,4,1,20.0,2,1,1,0,50.0,Matches
Squad Total,,,27.0,21,21,1890,21.0,28,1.33,77,48,66.2,10,5,6,7,33.3,3,2,1,0,33.3,
Opponent Total,,,26.8,21,21,1890,21.0,32,1.52,83,52,62.7,6,5,10,4,19.0,1,1,0,0,0.0,
