Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Emiliano Martínez,ar ARG,GK,33-134,17,17,1485,16.5,16,0.97,64,47,75.0,11,3,3,4,23.5,1,0,1,0,100.0,Matches
Marco Bizot,nl NED,GK,34-310,5,4,405,4.5,8,1.78,20,13,65.0,2,1,1,2,50.0,1,1,0,0,0.0,Matches
Squad Total,,,28.4,21,21,1890,21.0,24,1.14,84,60,72.6,13,4,4,6,28.6,2,1,1,0,50.0,
Opponent Total,,,26.5,21,21,1890,21.0,33,1.57,89,57,62.9,4,4,13,6,28.6,0,0,0,0,,
