Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Alphonse Areola,fr FRA,GK,32-321,17,17,1530,17.0,32,1.88,94,63,71.3,2,5,10,0,0.0,6,5,0,1,0.0,Matches
Mads Hermansen,dk DEN,GK,25-187,4,4,360,4.0,11,2.75,20,9,45.0,1,0,3,1,25.0,0,0,0,0,,Matches
Squad Total,,,27.0,21,21,1890,21.0,43,2.05,114,72,66.7,3,5,13,1,4.8,6,5,0,1,0.0,
Opponent Total,,,26.7,21,21,1890,21.0,22,1.05,68,48,70.6,13,5,3,8,38.1,2,2,0,0,0.0,
