Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Dean Henderson,eng ENG,GK,28-308,21,21,1890,21.0,23,1.1,79,56,73.4,7,7,7,8,38.1,2,2,0,0,0.0,Matches
Squad Total,,,26.8,21,21,1890,21.0,23,1.1,79,56,73.4,7,7,7,8,38.1,2,2,0,0,0.0,
Opponent Total,,,27.0,21,21,1890,21.0,22,1.05,79,58,77.2,7,7,7,8,38.1,4,4,0,0,0.0,
