Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Matz Sels,be BEL,GK,33-322,17,16,1453,16.1,26,1.61,74,50,68.9,5,3,8,2,12.5,3,3,0,0,0.0,Matches
John,br BRA,GK,29-335,5,5,437,4.9,8,1.65,14,6,50.0,1,0,4,1,20.0,1,1,0,0,0.0,Matches
Squad Total,,,26.2,21,21,1890,21.0,34,1.62,88,56,65.9,6,3,12,3,14.3,4,4,0,0,0.0,
Opponent Total,,,26.6,21,21,1890,21.0,21,1.0,84,63,77.4,12,3,6,10,47.6,2,2,0,0,0.0,
