Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21,21,1890,21.0,25,1.19,82,56,72.0,8,5,8,8,38.1,3,2,1,0,33.3,Matches
Squad Total,,,28.0,21,21,1890,21.0,25,1.19,82,56,72.0,8,5,8,8,38.1,3,2,1,0,33.3,
Opponent Total,,,26.4,21,21,1890,21.0,23,1.1,65,43,66.2,8,5,8,7,33.3,1,1,0,0,0.0,
